gene_id	CONTROL_REP1	CONTROL_REP2	CONTROL_REP3	CONTROL_REP4	PREECLAMPSIA_REP1	PREECLAMPSIA_REP2	PREECLAMPSIA_REP3	PREECLAMPSIA_REP4
gene-0610005C13Rik	0	0.99321952807602	0	0	0	0	0	0
gene-0610006L08Rik	0	0	0	0	0	3.02148778587847	0	0
gene-0610009E02Rik	20.5711810990241	15.20565070964	3.24910752529849	23.4263293320188	4.85336251316752	4.03335331666222	11.8857122989258	6.40857826064124
gene-0610009L18Rik	12.5266325708192	20.6137837652527	26.9078966258554	14.3552383196365	13.8981114677909	14.7570074127851	5.67602632323912	12.3867236005585
gene-0610010K14Rik	335.07007139259	345.985521932458	329.687049677799	318.905264958066	272.818887765911	208.619478652346	248.788638455211	272.033874479363
gene-0610025J13Rik	1.93756410746903	0	1.01355129686065	0	0	3.03579596482615	2.01235165716404	1.00676312364398
gene-0610030E20Rik	467.787125940815	452.626031058854	413.968335910702	400.274991804122	473.21908053032	409.811702226914	419.413346809513	375.020520488635
gene-0610031O16Rik	0	0	0	0	0	0	0	0
gene-0610038B21Rik	0	0	0	0	0	0	1.01013192680159	0
gene-0610039H22Rik	0	0	0	0	1.00361166902007	0	0	0
gene-0610039K10Rik	0	0	0	0	0	0	1.01013357230167	0
gene-0610040B10Rik	3.15671787293451	2.09351901010158	2.10466181093172	9.3360724534933	0.973988344511243	0.990197026942077	7.4204153201389	1.87847430480756
gene-0610040F04Rik	0.830522192031851	0.829911590144253	2.81325923041562	0	0.829473156459338	0	0	0.824297916727899
gene-0610040J01Rik	40.7082079361118	26.8016912372031	12.9016223581816	18.8525373492311	18.4900778557573	16.871854584346	16.3377900501022	24.6986610040725
gene-0610042G04Rik	50.0524353548782	50.0437668138678	41.0265527629211	28.0133206558181	47.0713521061486	29.0245931141754	33.8675863156349	41.846833593955
gene-0610043K17Rik	0.995014929531113	0	0.986464864782316	0	0	0	0	0
gene-1100001I12Rik	0	0	0	0	0	0	0	0
gene-1110002E22Rik	59.443524554471	66.6280536593039	60.6325623351275	56.7417690871404	90.2944749372906	90.5522175586696	56.4389077492708	63.3666071355384
gene-1110002J07Rik	44.2858970891324	54.0950310391016	51.115971570504	37.9214020738349	35.2004399156166	25.702431254065	39.8849142231297	28.4731184306231
gene-1110002L01Rik	300.526729282461	311.123875914314	295.059625662535	253.392411631299	269.677816186297	240.92728838505	269.747215882492	309.538238749659
gene-1110002O04Rik	0	0.993216753408045	0	0	0	0	0	0
gene-1110004F10Rik	1868.20313311213	1861.98518661813	1936.82196873809	1647.81287827259	1706.71906771181	1688.64428657867	1836.78067714251	1838.13768652102
gene-1110006O24Rik	9.30510964014918	8.17654619008547	11.2552144490435	4.06876305685937	10.9589266600539	5.90929464853189	5.76307083690875	7.7338856139227
gene-1110015O18Rik	60.3000135362691	68.2258905884241	47.1498543967602	57.1355538321964	81.0694898405185	84.903694231395	81.3234247909069	70.4907712893717
gene-1110018N20Rik	3.61394847661965	9.22838765286633	10.6021289105542	5.28555576923182	15.1935774844555	9.43390971984314	15.6107134295125	12.6143156278245
