gene_id	CONTROL_REP1	CONTROL_REP2	CONTROL_REP3	CONTROL_REP4	PREECLAMPSIA_REP1	PREECLAMPSIA_REP2	PREECLAMPSIA_REP3	PREECLAMPSIA_REP4
gene-0610005C13Rik	0	0.18322	0	0	0	0	0	0
gene-0610006L08Rik	0	0	0	0	0	0.544442	0	0
gene-0610009E02Rik	3.385197	2.507782	0.545342	4.391393	0.879111	0.698648	2.102289	1.059871
gene-0610009L18Rik	6.662285	10.987696	14.596501	8.697063	8.136187	8.261418	3.244709	6.620822
gene-0610010K14Rik	110.189451	114.030849	110.582502	119.464649	98.754087	72.214876	87.938167	89.907095
gene-0610025J13Rik	0.191319	0	0.102077	0	0	0.315531	0.213574	0.099907
gene-0610030E20Rik	14.391261	13.955653	12.989662	14.027568	16.02467	13.270961	13.868686	11.595039
gene-0610031O16Rik	0	0	0	0	0	0	0	0
gene-0610038B21Rik	0	0	0	0	0	0	0.12561	0
gene-0610039H22Rik	0	0	0	0	0.414745	0	0	0
gene-0610039K10Rik	0	0	0	0	0	0	0.245997	0
gene-0610040B10Rik	3.768356	2.504685	2.562587	12.695614	1.279812	1.244243	9.521094	2.253658
gene-0610040F04Rik	0.099579	0.099726	0.344038	0	0.10947	0	0	0.099327
gene-0610040J01Rik	3.687224	2.432987	1.191906	1.945184	1.843455	1.608599	1.590572	2.248317
gene-0610042G04Rik	4.442817	4.451878	3.714312	2.832508	4.599029	2.711857	3.231171	3.733038
gene-0610043K17Rik	0.557174	0	0.563408	0	0	0	0	0
gene-1100001I12Rik	0	0	0	0	0	0	0	0
gene-1110002E22Rik	0.853899	0.959222	0.888358	0.928492	1.427708	1.369205	0.871411	0.914806
gene-1110002J07Rik	2.87848	3.523832	3.388711	2.807731	2.518385	1.758488	2.786435	1.859942
gene-1110002L01Rik	13.895298	14.417108	13.914727	13.346018	13.724807	11.725684	13.405537	14.383536
gene-1110002O04Rik	0	0.396148	0	0	0	0	0	0
gene-1110004F10Rik	239.971576	239.702178	253.749709	241.110954	241.309273	228.318612	253.591968	237.290496
gene-1110006O24Rik	3.192418	2.811436	3.938512	1.590135	4.138496	2.134034	2.125175	2.666629
gene-1110015O18Rik	7.045276	7.988953	5.618768	7.60432	10.425918	10.441782	10.212657	8.277124
gene-1110018N20Rik	0.867163	2.219242	2.594729	1.444717	4.01287	2.382747	4.026095	3.041929
