Geneid,Chr,Strand,NExons,P.Value,FDR
gene-Fat4,NC_000069.7,+,18,3.48804426450389e-21,4.51108764728288e-17
gene-Dync1h1,NC_000078.7,+,77,5.64406572571558e-20,3.64973510153398e-16
gene-Top2b,NC_000080.7,-,36,2.95729030539612e-18,1.27488785065627e-14
gene-Map2,NC_000067.7,+,29,1.71539226859365e-17,5.54629205243042e-14
gene-Map1b,NC_000079.7,-,8,1.66199357757845e-16,4.29891258776443e-13
gene-Fat1,NC_000074.7,+,32,2.69272637133659e-16,5.80417169341602e-13
gene-Cltc,NC_000077.7,-,35,3.47132618133744e-16,6.41352307189101e-13
gene-Macf1,NC_000070.7,-,105,5.40949991768968e-16,8.74513280443507e-13
gene-Usp9x,NC_000086.8,+,49,6.94939378290414e-16,9.98627886603324e-13
gene-Rtn4,NC_000077.7,+,9,8.90322603760942e-15,1.15145422344403e-11
gene-Sptbn1,NC_000077.7,-,39,3.52981071964033e-14,4.15009473064622e-11
gene-Dchs1,NC_000073.7,-,23,9.2442643186279e-14,9.96300586940122e-11
gene-Lrp1,NC_000076.7,-,89,1.37678624794235e-13,1.36969050343372e-10
gene-Dlgap4,NC_000068.8,+,33,1.51536292253398e-13,1.39987061979514e-10
gene-Vcan,NC_000079.7,-,19,1.72880432289856e-13,1.49057508720314e-10
gene-Ubr4,NC_000070.7,+,106,1.00400554105624e-12,8.11550228905024e-10
gene-Reln,NC_000071.7,-,65,1.46292328008043e-12,1.11294039889884e-09
gene-Pclo,NC_000071.7,+,33,3.56281594308189e-12,2.55988325510433e-09
gene-Bsn,NC_000075.7,-,13,6.02980338360276e-12,4.10439195579655e-09
gene-Birc6,NC_000083.7,+,83,8.26911081281022e-12,5.20893482118115e-09
gene-Zfp638,NC_000072.7,+,37,8.45802452986964e-12,5.20893482118115e-09
gene-Kalrn,NC_000082.7,-,76,9.85706070468239e-12,5.7946075497117e-09
gene-Sptan1,NC_000068.8,+,58,1.44898996020054e-11,8.14773354577115e-09
gene-Plxna4,NC_000072.7,-,32,1.57413487127736e-11,8.48261928759586e-09
gene-Huwe1,NC_000086.8,+,95,2.19578475950809e-11,1.13592337178873e-08
gene-Syt7,NC_000085.7,+,18,2.44484998945086e-11,1.17732612420219e-08
gene-Dlg2,NC_000073.7,+,32,2.45788334906511e-11,1.17732612420219e-08
gene-Apc,NC_000084.7,+,25,4.81606046995072e-11,2.16235343794347e-08
gene-Ank3,NC_000076.7,+,59,4.8487009742798e-11,2.16235343794347e-08
gene-Itsn1,NC_000082.7,+,44,7.34073377418363e-11,3.07942776922254e-08
gene-Cadps,NC_000080.7,+,36,7.38129288223141e-11,3.07942776922254e-08
gene-Prpf8,NC_000077.7,+,42,9.12228577167705e-11,3.68682880890935e-08
gene-Celsr2,NC_000069.7,-,38,1.06379108396651e-10,4.16909396634512e-08
gene-Nrxn1,NC_000083.7,-,30,1.2481802336311e-10,4.74785734163264e-08
gene-Tenm1,NC_000086.8,-,37,1.50167874376177e-10,5.54891748373456e-08
gene-Ptprz1,NC_000072.7,+,34,1.70647657539948e-10,6.13051709712263e-08
gene-Dcx,NC_000086.8,-,14,1.76108139463988e-10,6.15569342618312e-08
gene-Mprip,NC_000077.7,+,33,1.94456924122781e-10,6.61818789389454e-08
gene-Fry,NC_000071.7,+,67,3.42913535499308e-10,1.13715403964424e-07
gene-Ntrk2,NC_000079.7,+,23,3.94084381374543e-10,1.2621504415413e-07
gene-Trio,NC_000081.7,-,67,4.00125014329182e-10,1.2621504415413e-07
gene-Cep170,NC_000067.7,-,27,4.66516624140535e-10,1.43653797619275e-07
gene-Dst,NC_000067.7,+,103,5.68351485900386e-10,1.68811572281165e-07
gene-Akap11,NC_000080.7,-,15,5.7432221297234e-10,1.68811572281165e-07
gene-Ckap5,NC_000068.8,+,49,5.91422393307522e-10,1.69974795836582e-07
gene-Nbea,NC_000069.7,-,66,6.89456585717737e-10,1.93842217893206e-07
gene-Ank2,NC_000069.7,-,59,7.8609542871066e-10,2.16310046372659e-07
gene-Arid1a,NC_000070.7,-,25,9.87709448350148e-10,2.66125964489843e-07
gene-Kif1a,NC_000067.7,-,53,1.06479687877091e-09,2.8104118434988e-07
gene-Herc2,NC_000073.7,+,94,1.22000251223908e-09,3.15565849815759e-07
gene-Ptprt,NC_000068.8,-,33,1.3954601571124e-09,3.52684096286794e-07
gene-Trrap,NC_000071.7,+,81,1.41804476972963e-09,3.52684096286794e-07
gene-Zfp462,NC_000070.7,+,23,1.94789386201664e-09,4.75322855046439e-07
gene-Wdfy3,NC_000071.7,-,74,2.04033072279595e-09,4.88659208109631e-07
gene-Smarca2,NC_000085.7,+,44,2.65673918130926e-09,6.24720142397684e-07
gene-Stox2,NC_000074.7,-,8,4.09564479166348e-09,9.45874537331853e-07
gene-Hectd4,NC_000071.7,+,81,4.40105018909531e-09,9.98575124483677e-07
gene-Nav1,NC_000067.7,-,37,4.71393614089466e-09,1.04067715500885e-06
gene-Fat3,NC_000075.7,-,30,4.81724782746959e-09,1.04067715500885e-06
gene-Chl1,NC_000072.7,+,31,4.82800814200347e-09,1.04067715500885e-06
gene-Gm38666,NC_000084.7,+,4,6.71278365503174e-09,1.41361994523161e-06
gene-Pcdhgc4,NC_000084.7,+,4,6.77680635617102e-09,1.41361994523161e-06
gene-Ralgapa1,NC_000078.7,-,47,8.25462723148278e-09,1.69455704737725e-06
gene-Hectd1,NC_000078.7,-,47,8.88744801761245e-09,1.78042005132807e-06
gene-Lrrc7,NC_000069.7,-,43,8.94821799554044e-09,1.78042005132807e-06
gene-Tmem178b,NC_000072.7,+,4,9.55852138675081e-09,1.87303571355831e-06
gene-Plxna2,NC_000067.7,+,36,1.20607350711978e-08,2.32808189068361e-06
gene-Sec16a,NC_000068.8,-,33,1.3198173545163e-08,2.51017615381754e-06
gene-Erbb4,NC_000067.7,-,33,1.57642347785868e-08,2.95476591871686e-06
gene-Kif5c,NC_000068.8,+,26,2.01583684142239e-08,3.72440255287369e-06
gene-Strbp,NC_000068.8,-,33,2.16702767315694e-08,3.9473477319632e-06
gene-Mycbp2,NC_000080.7,-,91,2.44623616957029e-08,4.39405171959062e-06
gene-Tnc,NC_000070.7,-,27,2.60879586218505e-08,4.62185710762182e-06
