ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"gene-Ddx3y"	"Ddx3y"	chrNC_000087.8	-	1280309	1280439	1282900	1282948	1279422	1279578	1284321	1284382
1	"gene-Ddx3y"	"Ddx3y"	chrNC_000087.8	-	1280309	1280439	1282900	1282968	1279422	1279578	1284321	1284382
2	"gene-Uty"	"Uty"	chrNC_000087.8	-	1131035	1131223	1134871	1134986	1129869	1130011	1136847	1136996
3	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168099541	168099690	168099991	168100143	168098597	168098717	168102433	168102511
4	"gene-Tlr7"	"Tlr7"	chrNC_000086.8	-	166091784	166091852	166092276	166092357	166087921	166091481	166112996	166113095
5	"gene-Gm8817"	"Gm8817"	chrNC_000086.8	-	165847832	165848001	165851275	165851404	165846226	165846571	165852131	165852198
6	"gene-Gpm6b"	"Gpm6b"	chrNC_000086.8	+	165136560	165136680	165150023	165150170	165021952	165022132	165155633	165155820
7	"gene-Gpm6b"	"Gpm6b"	chrNC_000086.8	+	165136560	165136680	165150023	165150170	165127826	165128077	165155633	165155820
8	"gene-Glra2"	"Glra2"	chrNC_000086.8	-	164072435	164072503	164072594	164072662	164064818	164065042	164107496	164107630
9	"gene-Glra2"	"Glra2"	chrNC_000086.8	-	164072435	164072503	164072594	164072765	164064818	164065042	164107496	164107630
10	"gene-Ap1s2"	"Ap1s2"	chrNC_000086.8	+	162703901	162703996	162714358	162714367	162700701	162700839	162715128	162716359
11	"gene-Ctps2"	"Ctps2"	chrNC_000086.8	+	161685567	161685672	161686429	161686634	161684555	161684743	161693004	161693175
12	"gene-Syap1"	"Syap1"	chrNC_000086.8	-	161642868	161642927	161646055	161646204	161642294	161642442	161655510	161655650
13	"gene-Phka2"	"Phka2"	chrNC_000086.8	+	159285742	159285900	159306267	159306426	159285157	159285288	159310725	159310773
14	"gene-Phka2"	"Phka2"	chrNC_000086.8	+	159285748	159285900	159306267	159306426	159285152	159285288	159310725	159310773
15	"gene-Phka2"	"Phka2"	chrNC_000086.8	+	159371960	159372014	159373163	159373364	159369774	159369945	159373934	159374025
16	"gene-Phka2"	"Phka2"	chrNC_000086.8	+	159371960	159372014	159373163	159373364	159369774	159369945	159381463	159381874
17	"gene-Phka2"	"Phka2"	chrNC_000086.8	+	159373163	159373364	159373934	159374025	159371960	159372014	159381463	159381874
18	"gene-Adgrg2"	"Adgrg2"	chrNC_000086.8	+	159274393	159274495	159275595	159275748	159271679	159271963	159279300	159281066
19	"gene-Sh3kbp1"	"Sh3kbp1"	chrNC_000086.8	+	158600237	158600294	158607470	158607545	158599572	158599702	158611369	158611575
20	"gene-Map7d2"	"Map7d2"	chrNC_000086.8	+	158243262	158243361	158245109	158245220	158242373	158242479	158252958	158253089
21	"gene-Rps6ka3"	"Rps6ka3"	chrNC_000086.8	+	158062162	158062199	158067204	158067249	158061105	158061199	158068261	158068318
22	"gene-Klf8"	"Klf8"	chrNC_000086.8	+	152091847	152091920	152153840	152153914	152020946	152021088	152165504	152166066
23	"gene-Klf8"	"Klf8"	chrNC_000086.8	+	152143291	152143479	152153840	152153914	152020584	152021088	152165504	152166066
24	"gene-Iqsec2"	"Iqsec2"	chrNC_000086.8	+	150949929	150949959	150963992	150964088	150927178	150928175	150985903	150986165
25	"gene-Iqsec2"	"Iqsec2"	chrNC_000086.8	+	150949929	150949959	150963992	150964088	150927208	150928175	150976861	150977599
26	"gene-Tsr2"	"Tsr2"	chrNC_000086.8	-	149874671	149874763	149879160	149879251	149870089	149873410	149879424	149879539
27	"gene-Alas2"	"Alas2"	chrNC_000086.8	+	149335144	149335340	149335954	149336077	149330442	149330481	149336928	149337039
28	"gene-Alas2"	"Alas2"	chrNC_000086.8	+	149335144	149335340	149335999	149336077	149330442	149330481	149336928	149337039
29	"gene-Rtl4"	"Rtl4"	chrNC_000086.8	+	143892572	143892704	143899152	143899273	143892426	143892481	143899850	143899962
30	"gene-Pak3"	"Pak3"	chrNC_000086.8	+	142311535	142311695	142346255	142346350	142301369	142301759	142476282	142476484
31	"gene-Pak3"	"Pak3"	chrNC_000086.8	+	142311535	142311695	142425655	142425674	142301370	142301759	142476282	142476484
32	"gene-Pak3"	"Pak3"	chrNC_000086.8	+	142311552	142311695	142346255	142346350	142301369	142301759	142476282	142476484
33	"gene-Pak3"	"Pak3"	chrNC_000086.8	+	142346255	142346350	142425655	142425674	142301370	142301759	142476282	142476484
34	"gene-Pak3"	"Pak3"	chrNC_000086.8	+	142476282	142476484	142492643	142492744	142301370	142301759	142498131	142498285
35	"gene-Pak3"	"Pak3"	chrNC_000086.8	+	142476282	142476484	142492643	142492744	142301586	142301759	142496889	142496934
36	"gene-Pak3"	"Pak3"	chrNC_000086.8	+	142492643	142492744	142496889	142496934	142476282	142476484	142498131	142498285
37	"gene-Pak3"	"Pak3"	chrNC_000086.8	+	142495273	142495336	142496889	142496934	142492643	142492744	142498131	142498285
38	"gene-Atg4a"	"Atg4a"	chrNC_000086.8	+	139888914	139888986	139889028	139889114	139887027	139887138	139890906	139891005
39	"gene-Frmpd3"	"Frmpd3"	chrNC_000086.8	+	139262893	139263048	139266477	139266580	139177866	139178816	139269567	139269613
40	"gene-Frmpd3"	"Frmpd3"	chrNC_000086.8	+	139262893	139263048	139269567	139269613	139177866	139178816	139284751	139284856
41	"gene-Frmpd3"	"Frmpd3"	chrNC_000086.8	+	139266477	139266580	139269567	139269613	139262893	139263048	139284751	139284856
42	"gene-Tmsb15l"	"Tmsb15l"	chrNC_000086.8	-	135857483	135857588	135876146	135876251	135855736	135856231	135877507	135877623
43	"gene-Tceal3"	"Tceal3"	chrNC_000086.8	+	135494950	135494999	135567872	135567939	135493607	135493712	135568259	135569126
44	"gene-Gprasp2"	"Gprasp2"	chrNC_000086.8	+	134740493	134740621	134741141	134741218	134739813	134740011	134741367	134741439
45	"gene-Gprasp2"	"Gprasp2"	chrNC_000086.8	+	134740531	134740621	134741141	134741218	134739813	134740011	134741367	134741439
46	"gene-Gprasp1"	"Gprasp1"	chrNC_000086.8	+	134696890	134697085	134698301	134698378	134652693	134652766	134698771	134698843
47	"gene-Gprasp1"	"Gprasp1"	chrNC_000086.8	+	134696890	134697085	134698536	134698613	134652693	134652766	134698771	134698843
48	"gene-Gprasp1"	"Gprasp1"	chrNC_000086.8	+	134697697	134697786	134698301	134698378	134696890	134697085	134698536	134698613
49	"gene-Gprasp1"	"Gprasp1"	chrNC_000086.8	+	134698301	134698378	134698536	134698613	134652693	134652766	134698771	134698843
50	"gene-Gprasp1"	"Gprasp1"	chrNC_000086.8	+	134698301	134698378	134698536	134698613	134697697	134697786	134698771	134698843
51	"gene-Armcx4"	"Armcx4"	chrNC_000086.8	+	133587896	133587974	133588765	133588855	133586398	133586486	133589198	133589281
52	"gene-Armcx4"	"Armcx4"	chrNC_000086.8	+	133587896	133587974	133588765	133588843	133587226	133587386	133589198	133589281
53	"gene-Armcx4"	"Armcx4"	chrNC_000086.8	+	133587896	133587974	133588765	133588855	133587226	133587386	133589198	133589281
54	"gene-Hnrnph2"	"Hnrnph2"	chrNC_000086.8	+	133503440	133503511	133503666	133503711	133501927	133502082	133505603	133507809
55	"gene-Xkrx"	"Xkrx"	chrNC_000086.8	-	133062324	133062390	133077005	133077879	133057961	133058230	133086045	133086743
56	"gene-Rps6ka6"	"Rps6ka6"	chrNC_000086.8	-	110359988	110360051	110372546	110372798	110355927	110355987	110396365	110396497
57	"gene-Fndc3c1"	"Fndc3c1"	chrNC_000086.8	-	105517436	105517553	105528550	105528678	105516673	105516787	105528951	105529039
58	"gene-Atrx"	"Atrx"	chrNC_000086.8	-	104881844	104882020	104883446	104883584	104879915	104880033	104889102	104889280
59	"gene-Gm50594"	"Gm50594"	chrNC_000086.8	-	104340509	104340563	104365152	104365244	104330558	104331353	104373746	104383104
60	"gene-Zdhhc15"	"Zdhhc15"	chrNC_000086.8	-	103617774	103617844	103631906	103632027	103616110	103616143	103641697	103641792
61	"gene-Rlim"	"Rlim"	chrNC_000086.8	-	103020915	103020988	103022109	103022201	103010096	103010286	103022878	103022940
62	"gene-Ogt"	"Ogt"	chrNC_000086.8	+	100704857	100704937	100706964	100707160	100699229	100699346	100707448	100707589
63	"gene-Med12"	"Med12"	chrNC_000086.8	+	100325343	100325488	100325655	100325706	100324968	100325139	100326006	100326125
64	"gene-Dlg3"	"Dlg3"	chrNC_000086.8	+	99851658	99851758	99853467	99853513	99850785	99850861	99855107	99855149
65	"gene-Dlg3"	"Dlg3"	chrNC_000086.8	+	99851658	99851758	99853467	99853513	99850785	99850861	99856331	99856382
66	"gene-Dlg3"	"Dlg3"	chrNC_000086.8	+	99851658	99851758	99855107	99855149	99850785	99850861	99856331	99856382
67	"gene-Dlg3"	"Dlg3"	chrNC_000086.8	+	99853467	99853513	99855107	99855149	99850785	99850861	99856331	99856382
68	"gene-Dlg3"	"Dlg3"	chrNC_000086.8	+	99855107	99855149	99856331	99856382	99850785	99850861	99856942	99857044
69	"gene-Dlg3"	"Dlg3"	chrNC_000086.8	+	99855107	99855149	99856331	99856382	99851658	99851758	99856942	99857044
70	"gene-Dlg3"	"Dlg3"	chrNC_000086.8	+	99855107	99855149	99856331	99856382	99853467	99853513	99856942	99857044
71	"gene-Eif2s3x"	"Eif2s3x"	chrNC_000086.8	-	93239877	93240050	93240893	93241063	93232314	93234528	93243319	93243464
72	"gene-Eif2s3x"	"Eif2s3x"	chrNC_000086.8	-	93240893	93241063	93243319	93243464	93239877	93240050	93244495	93244590
73	"gene-Prkx"	"Prkx"	chrNC_000086.8	-	76808178	76808256	76808954	76809012	76807711	76807860	76816721	76816841
74	"gene-Prkx"	"Prkx"	chrNC_000086.8	-	76808954	76809012	76816721	76816841	76808178	76808256	76825643	76825907
75	"gene-Prkx"	"Prkx"	chrNC_000086.8	-	76814852	76814948	76816721	76816841	76808954	76809012	76825643	76825907
76	"gene-Prkx"	"Prkx"	chrNC_000086.8	-	76814852	76814948	76816721	76816841	76808954	76809012	76829733	76829902
77	"gene-Prkx"	"Prkx"	chrNC_000086.8	-	76814852	76814948	76825643	76825907	76808954	76809012	76829733	76829902
78	"gene-Prkx"	"Prkx"	chrNC_000086.8	-	76816721	76816841	76825643	76825907	76808954	76809012	76829733	76829902
79	"gene-Prkx"	"Prkx"	chrNC_000086.8	-	76816721	76816841	76825643	76825907	76814852	76814948	76829733	76829902
