ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"gene-Ddx3y"	"Ddx3y"	chrNC_000087.8	-	1280309	1280439	1282900	1282948	1279422	1279578	1284321	1284382	0	15,19,13,6	55,61,42,14	0,0,11,0	0,0,34,0	78	78	0.916858320840998	0.999202115572178	0.214,0.238,0.236,0.3	NA,NA,0.244,NA	0.003
1	"gene-Ddx3y"	"Ddx3y"	chrNC_000087.8	-	1280309	1280439	1282900	1282968	1279422	1279578	1284321	1284382	1	1,0,1,0	55,61,42,14	0,0,1,0	0,0,34,0	78	78	0.844390083700235	0.983814623954898	0.018,0.0,0.023,0.0	NA,NA,0.029,NA	-0.019
2	"gene-Uty"	"Uty"	chrNC_000087.8	-	1131035	1131223	1134871	1134986	1129869	1130011	1136847	1136996	2	13,23,18,2	24,42,41,10	0,0,18,0	0,0,35,0	78	78	0.60502788963109	0.898833264606677	0.351,0.354,0.305,0.167	NA,NA,0.34,NA	-0.046
3	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168099541	168099690	168099991	168100143	168098597	168098717	168102433	168102511	3	49,43,52,42	35,32,40,37	39,33,50,51	45,36,30,45	78	78	0.30437904456596	0.738627324591323	0.583,0.573,0.565,0.532	0.464,0.478,0.625,0.531	0.039
5	"gene-Gm8817"	"Gm8817"	chrNC_000086.8	-	165847832	165848001	165851275	165851404	165846226	165846571	165852131	165852198	5	0,0,0,0	0,3,0,0	0,0,0,2	0,0,1,0	78	78	NA	NA	NA,0.0,NA,NA	NA,NA,0.0,1.0	-0.5
6	"gene-Gpm6b"	"Gpm6b"	chrNC_000086.8	+	165136560	165136680	165150023	165150170	165021952	165022132	165155633	165155820	6	106,99,133,100	2,2,3,2	83,62,77,102	2,1,3,1	78	78	0.907317443631423	0.999202115572178	0.981,0.98,0.978,0.98	0.976,0.984,0.962,0.99	0.002
7	"gene-Gpm6b"	"Gpm6b"	chrNC_000086.8	+	165136560	165136680	165150023	165150170	165127826	165128077	165155633	165155820	7	270,255,300,278	2,10,6,3	212,187,198,245	6,2,3,2	78	78	0.733340545953774	0.946419644879699	0.993,0.962,0.98,0.989	0.972,0.989,0.985,0.992	-0.003
8	"gene-Glra2"	"Glra2"	chrNC_000086.8	-	164072435	164072503	164072594	164072662	164064818	164065042	164107496	164107630	8	183,186,192,183	1,4,1,3	115,141,131,133	0,2,3,0	78	78	0.592121534571541	0.893301315926331	0.995,0.979,0.995,0.984	1.0,0.986,0.978,1.0	-0.003
9	"gene-Glra2"	"Glra2"	chrNC_000086.8	-	164072435	164072503	164072594	164072765	164064818	164065042	164107496	164107630	9	74,71,58,65	1,4,1,3	51,54,55,51	0,2,3,0	78	78	0.463924014825548	0.825068204086321	0.987,0.947,0.983,0.956	1.0,0.964,0.948,1.0	-0.01
11	"gene-Ctps2"	"Ctps2"	chrNC_000086.8	+	161685567	161685672	161686429	161686634	161684555	161684743	161693004	161693175	11	0,0,1,1	111,108,108,84	0,0,4,0	113,104,98,72	78	78	0.721719618979536	0.942821888078651	0.0,0.0,0.009,0.012	0.0,0.0,0.039,0.0	-0.005
12	"gene-Syap1"	"Syap1"	chrNC_000086.8	-	161642868	161642927	161646055	161646204	161642294	161642442	161655510	161655650	12	53,47,65,52	22,28,25,20	72,42,46,54	37,29,32,44	78	78	0.0132934689258319	0.325238215226541	0.707,0.627,0.722,0.722	0.661,0.592,0.59,0.551	0.096
13	"gene-Phka2"	"Phka2"	chrNC_000086.8	+	159285742	159285900	159306267	159306426	159285157	159285288	159310725	159310773	13	3,1,2,2	12,15,22,17	1,1,0,2	18,18,10,20	78	78	0.216673216733307	0.670662889949066	0.2,0.062,0.083,0.105	0.053,0.053,0.0,0.091	0.063
14	"gene-Phka2"	"Phka2"	chrNC_000086.8	+	159285748	159285900	159306267	159306426	159285152	159285288	159310725	159310773	14	0,0,6,1	12,15,22,17	2,3,1,4	18,18,10,20	78	78	0.224979769292082	0.676003622650918	0.0,0.0,0.214,0.056	0.1,0.143,0.091,0.167	-0.058
15	"gene-Phka2"	"Phka2"	chrNC_000086.8	+	159371960	159372014	159373163	159373364	159369774	159369945	159373934	159374025	15	17,8,10,14	15,15,15,18	14,6,10,10	24,17,7,22	78	78	0.285685866788915	0.723891762509726	0.531,0.348,0.4,0.438	0.368,0.261,0.588,0.312	0.047
16	"gene-Phka2"	"Phka2"	chrNC_000086.8	+	159371960	159372014	159373163	159373364	159369774	159369945	159381463	159381874	16	16,6,10,14	0,0,1,2	14,6,11,10	1,0,3,1	78	78	0.505726514334473	0.847702766719395	1.0,1.0,0.909,0.875	0.933,1.0,0.786,0.909	0.039
17	"gene-Phka2"	"Phka2"	chrNC_000086.8	+	159373163	159373364	159373934	159374025	159371960	159372014	159381463	159381874	17	27,24,23,21	1,2,0,1	29,35,26,28	0,0,2,2	78	78	0.735613316985268	0.94660914589925	0.964,0.923,1.0,0.955	1.0,1.0,0.929,0.933	-0.005
18	"gene-Adgrg2"	"Adgrg2"	chrNC_000086.8	+	159274393	159274495	159275595	159275748	159271679	159271963	159279300	159281066	18	2,4,0,3	1,9,2,4	3,0,3,0	7,2,3,2	78	78	0.784757515639643	0.96517364092557	0.667,0.308,0.0,0.429	0.3,0.0,0.5,0.0	0.151
19	"gene-Sh3kbp1"	"Sh3kbp1"	chrNC_000086.8	+	158600237	158600294	158607470	158607545	158599572	158599702	158611369	158611575	19	8,0,3,6	3,0,0,1	4,2,7,0	0,0,1,0	78	78	0.391179681624678	0.780648288832592	0.727,NA,1.0,0.857	1.0,1.0,0.875,NA	-0.097
20	"gene-Map7d2"	"Map7d2"	chrNC_000086.8	+	158243262	158243361	158245109	158245220	158242373	158242479	158252958	158253089	20	31,23,28,32	25,40,19,31	35,22,25,17	18,32,14,22	78	78	0.477238387472347	0.832746695976155	0.554,0.365,0.596,0.508	0.66,0.407,0.641,0.436	-0.03
21	"gene-Rps6ka3"	"Rps6ka3"	chrNC_000086.8	+	158062162	158062199	158067204	158067249	158061105	158061199	158068261	158068318	21	22,16,20,17	2,0,2,1	14,11,17,16	0,0,0,0	76	78	0.0135871189910889	0.325238215226541	0.919,1.0,0.911,0.946	1.0,1.0,1.0,1.0	-0.056
22	"gene-Klf8"	"Klf8"	chrNC_000086.8	+	152091847	152091920	152153840	152153914	152020946	152021088	152165504	152166066	22	2,3,2,0	26,39,31,32	1,3,5,4	25,20,23,19	78	78	0.0436959238635355	0.436483448809612	0.071,0.071,0.061,0.0	0.038,0.13,0.179,0.174	-0.079
23	"gene-Klf8"	"Klf8"	chrNC_000086.8	+	152143291	152143479	152153840	152153914	152020584	152021088	152165504	152166066	23	2,0,5,3	26,39,31,32	1,4,1,3	25,20,23,19	78	78	0.485733073803779	0.835809342607131	0.071,0.0,0.139,0.086	0.038,0.167,0.042,0.136	-0.022
24	"gene-Iqsec2"	"Iqsec2"	chrNC_000086.8	+	150949929	150949959	150963992	150964088	150927178	150928175	150985903	150986165	24	49,38,40,39	1,0,2,0	37,36,22,23	0,0,1,0	69	78	0.598519824255963	0.896747992901739	0.982,1.0,0.958,1.0	1.0,1.0,0.961,1.0	-0.005
25	"gene-Iqsec2"	"Iqsec2"	chrNC_000086.8	+	150949929	150949959	150963992	150964088	150927208	150928175	150976861	150977599	25	10,6,7,14	5,1,1,5	9,5,13,3	1,1,5,7	69	78	0.787015626759872	0.96517364092557	0.693,0.872,0.888,0.76	0.911,0.85,0.746,0.326	0.095
26	"gene-Tsr2"	"Tsr2"	chrNC_000086.8	-	149874671	149874763	149879160	149879251	149870089	149873410	149879424	149879539	26	34,44,49,40	2,1,5,1	41,35,37,44	5,4,3,4	78	78	0.0808995001517627	0.490197055349355	0.944,0.978,0.907,0.976	0.891,0.897,0.925,0.917	0.044
27	"gene-Alas2"	"Alas2"	chrNC_000086.8	+	149335144	149335340	149335954	149336077	149330442	149330481	149336928	149337039	27	14,12,17,11	14,32,29,20	12,7,14,26	21,13,25,29	78	78	0.517070629262185	0.854879340969778	0.5,0.273,0.37,0.355	0.364,0.35,0.359,0.473	-0.012
28	"gene-Alas2"	"Alas2"	chrNC_000086.8	+	149335144	149335340	149335999	149336077	149330442	149330481	149336928	149337039	28	14,12,17,11	10,28,19,17	12,7,14,26	21,9,18,22	78	78	0.604657106182195	0.898767547389088	0.583,0.3,0.472,0.393	0.364,0.438,0.438,0.542	-0.009
29	"gene-Rtl4"	"Rtl4"	chrNC_000086.8	+	143892572	143892704	143899152	143899273	143892426	143892481	143899850	143899962	29	2,0,2,0	1,0,0,0	4,2,0,2	0,0,0,0	78	78	0.136674775758183	0.582257816703284	0.667,NA,1.0,NA	1.0,1.0,NA,1.0	-0.166
30	"gene-Pak3"	"Pak3"	chrNC_000086.8	+	142311535	142311695	142346255	142346350	142301369	142301759	142476282	142476484	30	17,10,17,22	22,22,14,18	17,8,7,9	13,12,14,16	78	78	0.570088457010438	0.880503051205875	0.436,0.312,0.548,0.55	0.567,0.4,0.333,0.36	0.046
31	"gene-Pak3"	"Pak3"	chrNC_000086.8	+	142311535	142311695	142425655	142425674	142301370	142301759	142476282	142476484	31	17,10,17,22	0,0,0,2	17,8,7,9	0,0,0,0	78	58	0.310255340330424	0.739756957871301	1.0,1.0,1.0,0.891	1.0,1.0,1.0,1.0	-0.027
32	"gene-Pak3"	"Pak3"	chrNC_000086.8	+	142311552	142311695	142346255	142346350	142301369	142301759	142476282	142476484	32	5,7,8,12	22,22,14,18	6,3,3,3	13,12,14,16	78	78	0.195195548265893	0.650377288038825	0.185,0.241,0.364,0.4	0.316,0.2,0.176,0.158	0.085
