ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"gene-Gm21748"	"Gm21748"	chrNC_000087.8	-	90850045	90851255	90850045	90850655	90851645	90851805	0	0,0,0,1	1,0,0,0	0,0,0,0	0,0,1,0	78	39	NA	NA	0.0,NA,NA,1.0	NA,NA,0.0,NA	0.5
1	"gene-Ddx3y"	"Ddx3y"	chrNC_000087.8	-	1263569	1263700	1263569	1263697	1263795	1263949	1	41,48,60,8	34,21,37,4	0,0,36,0	0,0,25,0	42	39	0.615310369290714	0.915249953871787	0.528,0.68,0.601,0.65	NA,NA,0.572,NA	0.043
2	"gene-Ddx3y"	"Ddx3y"	chrNC_000087.8	-	1282900	1282968	1282900	1282948	1284321	1284382	2	2,0,3,0	39,52,31,10	0,0,3,0	0,0,28,0	59	39	0.872823777575376	0.999202115572178	0.033,0.0,0.06,0.0	NA,NA,0.066,NA	-0.043
3	"gene-Uty"	"Uty"	chrNC_000087.8	-	1115243	1120805	1115243	1120802	1129869	1130011	3	0,0,2,0	1,0,1,0	0,0,1,0	0,0,3,0	42	39	0.150256727024474	0.639310191793237	0.0,NA,0.65,NA	NA,NA,0.236,NA	0.089
4	"gene-Uty"	"Uty"	chrNC_000087.8	-	1170903	1171002	1170903	1170954	1174727	1174854	4	26,18,22,8	3,1,0,0	0,0,7,0	0,0,0,0	78	39	0.999202115572178	0.999202115572178	0.812,0.9,1.0,1.0	NA,NA,1.0,NA	-0.072
5	"gene-Uty"	"Uty"	chrNC_000087.8	-	1245155	1245219	1245155	1245216	1245406	1245512	5	28,20,10,4	0,2,2,0	0,0,11,0	0,0,1,0	42	39	0.390661253142158	0.794882874146402	1.0,0.903,0.823,1.0	NA,NA,0.911,NA	0.02
6	"gene-Eif2s3y"	"Eif2s3y"	chrNC_000087.8	+	1016990	1017508	1017363	1017508	1016589	1016684	6	61,80,38,5	91,134,120,18	0,1,83,0	0,0,109,0	78	39	0.0422666727972871	0.476019734786009	0.251,0.23,0.137,0.122	NA,1.0,0.276,NA	-0.453
7	"gene-Kdm5d"	"Kdm5d"	chrNC_000087.8	+	910656	910849	910685	910849	910447	910586	7	2,2,4,2	33,47,49,6	0,0,2,0	1,0,42,0	68	39	0.669292658829465	0.940014286928752	0.034,0.024,0.045,0.16	0.0,NA,0.027,NA	0.052
8	"gene-Kdm5d"	"Kdm5d"	chrNC_000087.8	+	927212	927439	927244	927439	927006	927126	8	1,2,6,0	46,30,34,5	0,0,2,0	1,0,41,0	71	39	0.999202115572178	0.999202115572178	0.012,0.035,0.088,0.0	0.0,NA,0.026,NA	0.021
9	"gene-Kdm5d"	"Kdm5d"	chrNC_000087.8	+	927602	927891	927709	927891	927244	927439	9	25,53,43,8	19,20,17,3	0,0,28,0	0,0,17,0	78	39	0.19442308225334	0.682949844144613	0.397,0.57,0.558,0.571	NA,NA,0.452,NA	0.072
