ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"gene-Ddx3y"	"Ddx3y"	chrNC_000087.8	-	1280309	1280439	1282900	1282948	1279422	1279578	1284321	1284382	0	15,19,13,6	55,61,43,14	0,0,11,0	0,0,34,0	87	169	0.866004237906762	0.99328749948152	0.346,0.377,0.37,0.454	NA,NA,0.386,NA	0.001
1	"gene-Ddx3y"	"Ddx3y"	chrNC_000087.8	-	1280309	1280439	1282900	1282968	1279422	1279578	1284321	1284382	1	1,0,1,0	55,61,43,14	0,0,1,0	0,0,34,0	107	169	0.825921375040236	0.980107479709963	0.028,0.0,0.035,0.0	NA,NA,0.044,NA	-0.028
2	"gene-Uty"	"Uty"	chrNC_000087.8	-	1131035	1131223	1134871	1134986	1129869	1130011	1136847	1136996	2	13,23,19,2	28,48,43,11	0,0,18,0	0,0,40,0	154	227	0.982241388730239	0.999202115572178	0.406,0.414,0.394,0.211	NA,NA,0.399,NA	-0.043
3	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168099541	168099690	168099991	168100143	168098597	168098717	168102433	168102511	3	49,45,55,44	36,32,40,37	40,35,52,52	45,37,30,45	191	188	0.305831841104326	0.742122169757097	0.573,0.581,0.575,0.539	0.467,0.482,0.63,0.532	0.039
5	"gene-Gm8817"	"Gm8817"	chrNC_000086.8	-	165847832	165848001	165851275	165851404	165846226	165846571	165852131	165852198	5	0,0,0,0	0,3,0,0	0,0,0,2	0,0,1,0	168	208	NA	NA	NA,0.0,NA,NA	NA,NA,0.0,1.0	-0.5
6	"gene-Gpm6b"	"Gpm6b"	chrNC_000086.8	+	165136560	165136680	165150023	165150170	165021952	165022132	165155633	165155820	6	106,99,134,100	2,2,3,2	83,62,77,102	2,1,3,1	159	186	0.915655607107664	0.999202115572178	0.984,0.983,0.981,0.983	0.98,0.986,0.968,0.992	0.001
7	"gene-Gpm6b"	"Gpm6b"	chrNC_000086.8	+	165136560	165136680	165150023	165150170	165127826	165128077	165155633	165155820	7	270,255,301,278	2,10,6,3	212,187,198,245	6,2,3,2	159	186	0.735203400050805	0.948788530080629	0.994,0.968,0.983,0.991	0.976,0.991,0.987,0.993	-0.003
8	"gene-Glra2"	"Glra2"	chrNC_000086.8	-	164072435	164072503	164072594	164072662	164064818	164065042	164107496	164107630	8	183,186,192,183	1,4,1,3	115,141,131,133	0,2,3,0	107	107	0.591850265994714	0.89130646198408	0.995,0.979,0.995,0.984	1.0,0.986,0.978,1.0	-0.003
9	"gene-Glra2"	"Glra2"	chrNC_000086.8	-	164072435	164072503	164072594	164072765	164064818	164065042	164107496	164107630	9	75,71,61,68	1,4,1,3	51,54,56,51	0,2,3,0	210	107	0.490370426447086	0.850132397856415	0.974,0.9,0.969,0.92	1.0,0.932,0.905,1.0	-0.018
11	"gene-Ctps2"	"Ctps2"	chrNC_000086.8	+	161685567	161685672	161686429	161686634	161684555	161684743	161693004	161693175	11	0,0,1,1	140,138,150,105	0,0,4,0	145,120,126,93	144	244	0.999202115572178	0.999202115572178	0.0,0.0,0.011,0.016	0.0,0.0,0.051,0.0	-0.006
