ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"gene-Gm21748"	"Gm21748"	chrNC_000087.8	-	90850045	90851805	90850045	90850655	90851645	90851805	1	0,0,0,1	1,0,0,0	0,0,0,0	0,0,1,0	78	39	NA	NA	0.0,NA,NA,1.0	NA,NA,0.0,NA	0.5
3	"gene-Uty"	"Uty"	chrNC_000087.8	-	1085186	1087766	1085186	1087088	1087581	1087766	3	2,15,19,1	6,0,4,2	0,0,7,0	0,0,2,0	78	39	0.696125539441341	0.956580946056398	0.143,1.0,0.704,0.2	NA,NA,0.636,NA	-0.124
4	"gene-Uty"	"Uty"	chrNC_000087.8	-	1245406	1245737	1245406	1245512	1245599	1245737	4	28,16,18,3	6,5,3,1	0,0,8,0	0,0,3,0	78	39	0.261901414222382	0.688519131775871	0.7,0.615,0.75,0.6	NA,NA,0.571,NA	0.095
5	"gene-Eif2s3y"	"Eif2s3y"	chrNC_000087.8	+	1016056	1016684	1016056	1016191	1016589	1016684	5	157,200,203,18	57,64,56,11	0,0,199,0	1,0,54,0	78	39	0.65508579297373	0.931152623936927	0.579,0.61,0.644,0.45	0.0,NA,0.648,NA	0.247
6	"gene-Eif2s3y"	"Eif2s3y"	chrNC_000087.8	+	1016990	1017508	1016990	1017095	1017363	1017508	6	73,86,58,9	12,13,3,0	0,2,88,0	0,0,10,0	78	39	0.999202115572178	0.999202115572178	0.753,0.768,0.906,1.0	NA,1.0,0.815,NA	-0.051
7	"gene-Eif2s3y"	"Eif2s3y"	chrNC_000087.8	+	1016990	1017508	1016990	1017102	1017363	1017508	7	73,85,62,9	21,23,9,1	0,2,90,0	0,0,17,0	78	39	0.656750531184687	0.931622181381836	0.635,0.649,0.775,0.818	NA,1.0,0.726,NA	-0.144
8	"gene-Gm15246"	"Gm15246"	chrNC_000086.8	+	168104750	168105838	168104750	168104829	168105745	168105838	8	24,30,22,28	0,0,1,0	25,18,19,27	0,0,0,0	78	39	0.375718082540568	0.761519418963738	1.0,1.0,0.917,1.0	1.0,1.0,1.0,1.0	-0.021
9	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168099541	168100143	168099541	168099672	168099991	168100143	9	31,23,36,18	0,0,0,0	32,14,16,27	0,0,1,2	78	39	0.0135967989141945	0.332459782300172	1.0,1.0,1.0,1.0	1.0,1.0,0.889,0.871	0.06
10	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168099541	168100143	168099541	168099690	168099991	168100143	10	11,13,23,7	42,47,38,28	22,9,6,9	28,37,38,41	78	39	0.690186849843949	0.955524452297636	0.116,0.121,0.232,0.111	0.282,0.108,0.073,0.099	0.005
22	"gene-Ofd1"	"Ofd1"	chrNC_000086.8	-	165171564	165174954	165171564	165174054	165174886	165174954	22	12,12,5,13	16,11,8,13	7,22,13,12	16,18,11,14	78	39	0.857066019705167	0.999202115572178	0.273,0.353,0.238,0.333	0.179,0.379,0.371,0.3	-0.008
23	"gene-Gpm6b"	"Gpm6b"	chrNC_000086.8	+	165168386	165172028	165168386	165168477	165169947	165172028	23	380,446,350,318	36,31,22,31	390,316,344,389	22,31,32,48	78	39	0.48953128312538	0.833824602869592	0.841,0.878,0.888,0.837	0.899,0.836,0.843,0.802	0.016
24	"gene-Glra2"	"Glra2"	chrNC_000086.8	-	164109797	164110407	164109797	164109976	164110159	164110407	24	165,161,175,165	2,7,3,10	139,141,138,151	2,0,3,3	78	39	0.0826326061775724	0.494125557642756	0.976,0.92,0.967,0.892	0.972,1.0,0.958,0.962	-0.034
25	"gene-Txlng"	"Txlng"	chrNC_000086.8	-	161594287	161594591	161594287	161594384	161594531	161594591	25	42,56,60,55	1,1,2,4	31,40,42,42	1,3,3,0	78	39	0.621935685642295	0.908729930951699	0.955,0.966,0.938,0.873	0.939,0.87,0.875,1.0	0.012
26	"gene-Phka2"	"Phka2"	chrNC_000086.8	+	159285157	159285900	159285157	159285288	159285742	159285900	26	10,13,21,27	3,1,2,2	16,9,15,28	1,1,0,0	78	39	0.0561473553550854	0.46045891553299	0.625,0.867,0.84,0.871	0.889,0.818,1.0,1.0	-0.126
29	"gene-Klf8"	"Klf8"	chrNC_000086.8	+	152142837	152143479	152142837	152142899	152143291	152143479	29	5,4,6,5	0,0,0,4	8,5,2,5	1,0,0,2	78	39	0.999202115572178	0.999202115572178	1.0,1.0,1.0,0.385	0.8,1.0,1.0,0.556	0.007
30	"gene-Klf8"	"Klf8"	chrNC_000086.8	+	152142837	152143479	152142837	152142960	152143291	152143479	30	6,3,4,3	1,2,0,5	7,7,2,7	4,1,2,1	78	39	0.642348926153779	0.921600484200405	0.75,0.429,1.0,0.231	0.467,0.778,0.333,0.778	0.014
31	"gene-Maged2"	"Maged2"	chrNC_000086.8	-	149589705	149590177	149589705	149589843	149589909	149590177	31	354,310,239,324	5,4,2,2	317,277,317,358	4,1,0,3	78	39	0.181475683747371	0.626478751660924	0.973,0.975,0.984,0.988	0.975,0.993,1.0,0.984	-0.008
34	"gene-Zcchc18"	"Zcchc18"	chrNC_000086.8	+	135893895	135894819	135893895	135894101	135894679	135894819	34	222,324,266,187	0,1,1,0	254,205,250,255	3,0,0,1	78	39	0.528715413441587	0.853961898858587	1.0,0.994,0.993,1.0	0.977,1.0,1.0,0.992	0.005
35	"gene-Zcchc18"	"Zcchc18"	chrNC_000086.8	+	135893895	135894819	135893895	135894153	135894679	135894819	35	175,275,217,159	0,0,1,0	223,170,191,214	0,0,0,0	78	39	0.321225765436774	0.72901960816243	1.0,1.0,0.991,1.0	1.0,1.0,1.0,1.0	-0.002
36	"gene-Armcx2"	"Armcx2"	chrNC_000086.8	-	133708202	133708474	133708202	133708262	133708351	133708474	36	37,71,57,50	1,2,0,1	49,43,47,58	3,1,2,1	78	39	0.223226434369287	0.66462784284735	0.949,0.947,1.0,0.962	0.891,0.956,0.922,0.967	0.03
37	"gene-Armcx2"	"Armcx2"	chrNC_000086.8	-	133708202	133708474	133708202	133708262	133708369	133708474	37	40,76,60,55	102,100,107,128	49,44,53,61	93,92,123,104	78	39	0.762738719376084	0.987655863913075	0.164,0.275,0.219,0.177	0.209,0.193,0.177,0.227	0.007
38	"gene-Armcx6"	"Armcx6"	chrNC_000086.8	-	133651689	133652116	133651689	133651782	133652078	133652116	38	19,22,23,15	50,39,27,39	14,13,33,16	25,34,38,36	78	39	0.738976558519737	0.977323598377914	0.16,0.22,0.299,0.161	0.219,0.16,0.303,0.182	-0.006
39	"gene-Drp2"	"Drp2"	chrNC_000086.8	+	133341083	133342135	133341083	133341169	133341977	133342135	39	31,52,39,28	50,46,44,47	56,54,45,31	69,47,37,47	78	39	0.265921921210233	0.693153083305542	0.237,0.361,0.307,0.23	0.289,0.365,0.378,0.248	-0.036
