ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"gene-Ddx3y"	"Ddx3y"	chrNC_000087.8	-	1280309	1280439	1282900	1282948	1279422	1279578	1284321	1284382	0	13,19,15,6	42,61,55,14	0,0,11,0	0,0,34,0	197	279	0.636168312860086	0.9209931434599	0.305,0.306,0.279,0.378	NA,NA,0.314,NA	0.003
1	"gene-Ddx3y"	"Ddx3y"	chrNC_000087.8	-	1280309	1280439	1282900	1282968	1279422	1279578	1284321	1284382	1	1,0,1,0	42,61,55,14	0,0,1,0	0,0,34,0	217	279	0.65664765247952	0.928583677021962	0.03,0.0,0.023,0.0	NA,NA,0.036,NA	-0.023
2	"gene-Uty"	"Uty"	chrNC_000087.8	-	1131035	1131223	1134871	1134986	1129869	1130011	1136847	1136996	2	18,23,13,2	41,42,24,10	0,0,18,0	0,0,35,0	264	298	0.824971255465354	0.984961107102012	0.331,0.382,0.379,0.184	NA,NA,0.367,NA	-0.048
3	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168099541	168099690	168099991	168100143	168098597	168098717	168102433	168102511	3	52,43,49,42	40,32,35,37	51,33,50,39	45,36,30,45	298	298	0.335793368761721	0.754893120588919	0.565,0.573,0.583,0.532	0.531,0.478,0.625,0.464	0.039
5	"gene-Gm8817"	"Gm8817"	chrNC_000086.8	-	165847832	165848001	165851275	165851404	165846226	165846571	165852131	165852198	5	0,0,0,0	0,3,0,0	2,0,0,0	0,0,1,0	278	298	NA	NA	NA,0.0,NA,NA	1.0,NA,0.0,NA	-0.5
6	"gene-Gpm6b"	"Gpm6b"	chrNC_000086.8	+	165136560	165136680	165150023	165150170	165021952	165022132	165155633	165155820	6	133,99,106,100	3,2,2,2	102,62,77,83	1,1,3,2	269	296	0.90845950390963	0.999202115572178	0.98,0.982,0.983,0.982	0.991,0.986,0.966,0.979	0.001
7	"gene-Gpm6b"	"Gpm6b"	chrNC_000086.8	+	165136560	165136680	165150023	165150170	165127826	165128077	165155633	165155820	7	300,255,270,278	6,10,2,3	245,187,198,212	2,2,3,6	269	296	0.716419815245602	0.949702219342444	0.982,0.966,0.993,0.99	0.993,0.99,0.986,0.975	-0.003
8	"gene-Glra2"	"Glra2"	chrNC_000086.8	-	164072435	164072503	164072594	164072662	164064818	164065042	164107496	164107630	8	192,186,183,183	1,4,1,3	133,141,131,115	0,2,3,0	217	217	0.592573510582069	0.896449992201779	0.995,0.979,0.995,0.984	1.0,0.986,0.978,1.0	-0.003
9	"gene-Glra2"	"Glra2"	chrNC_000086.8	-	164072435	164072503	164072594	164072765	164064818	164065042	164107496	164107630	9	58,71,74,65	1,4,1,3	51,54,55,51	0,2,3,0	298	217	0.463264644466118	0.831960793500414	0.977,0.928,0.982,0.94	1.0,0.952,0.93,1.0	-0.014
11	"gene-Ctps2"	"Ctps2"	chrNC_000086.8	+	161685567	161685672	161686429	161686634	161684555	161684743	161693004	161693175	11	1,0,0,1	108,108,111,84	0,0,4,0	72,104,98,113	254	298	0.999202115572178	0.999202115572178	0.011,0.0,0.0,0.014	0.0,0.0,0.046,0.0	-0.005
12	"gene-Syap1"	"Syap1"	chrNC_000086.8	-	161642868	161642927	161646055	161646204	161642294	161642442	161655510	161655650	12	65,47,53,52	25,28,22,20	54,42,46,72	44,29,32,37	298	208	0.0134725850466739	0.314945529193069	0.645,0.54,0.627,0.645	0.461,0.503,0.501,0.576	0.104
13	"gene-Phka2"	"Phka2"	chrNC_000086.8	+	159285742	159285900	159306267	159306426	159285157	159285288	159310725	159310773	13	2,1,3,2	22,15,12,17	2,1,0,1	20,18,10,18	298	298	0.19224761654433	0.644103666960539	0.083,0.062,0.2,0.105	0.091,0.053,0.0,0.053	0.063
14	"gene-Phka2"	"Phka2"	chrNC_000086.8	+	159285748	159285900	159306267	159306426	159285152	159285288	159310725	159310773	14	6,0,0,1	22,15,12,17	4,3,1,2	20,18,10,18	298	298	0.154553916883283	0.596269328417502	0.214,0.0,0.0,0.056	0.167,0.143,0.091,0.1	-0.058
15	"gene-Phka2"	"Phka2"	chrNC_000086.8	+	159371960	159372014	159373163	159373364	159369774	159369945	159373934	159374025	15	10,8,17,14	15,15,15,18	10,6,10,14	22,17,7,24	203	298	0.302970877679378	0.739241774869966	0.495,0.439,0.625,0.533	0.4,0.341,0.677,0.461	0.053
16	"gene-Phka2"	"Phka2"	chrNC_000086.8	+	159371960	159372014	159373163	159373364	159369774	159369945	159381463	159381874	16	10,6,16,14	1,0,0,2	10,6,11,14	1,0,3,1	203	298	0.372592780890381	0.774077449120701	0.936,1.0,1.0,0.911	0.936,1.0,0.843,0.954	0.029
17	"gene-Phka2"	"Phka2"	chrNC_000086.8	+	159373163	159373364	159373934	159374025	159371960	159372014	159381463	159381874	17	23,24,27,21	0,2,1,1	28,35,26,29	2,0,2,0	298	240	0.738901734919581	0.95597437341915	1.0,0.906,0.956,0.944	0.919,1.0,0.913,1.0	-0.006
18	"gene-Adgrg2"	"Adgrg2"	chrNC_000086.8	+	159274393	159274495	159275595	159275748	159271679	159271963	159279300	159281066	18	0,4,2,3	2,9,1,4	0,0,3,3	2,2,3,7	251	298	0.999202115572178	0.999202115572178	0.0,0.345,0.704,0.471	0.0,0.0,0.543,0.337	0.16
19	"gene-Sh3kbp1"	"Sh3kbp1"	chrNC_000086.8	+	158600237	158600294	158607470	158607545	158599572	158599702	158611369	158611575	19	3,0,8,6	0,0,3,1	0,2,7,4	0,0,1,0	206	224	0.26155264550562	0.712781789611358	1.0,NA,0.744,0.867	NA,1.0,0.884,1.0	-0.091
20	"gene-Map7d2"	"Map7d2"	chrNC_000086.8	+	158243262	158243361	158245109	158245220	158242373	158242479	158252958	158253089	20	28,23,31,32	19,40,25,31	17,22,25,35	22,32,14,18	248	260	0.518974608000774	0.857723272174335	0.607,0.376,0.565,0.52	0.448,0.419,0.652,0.671	-0.031
21	"gene-Rps6ka3"	"Rps6ka3"	chrNC_000086.8	+	158062162	158062199	158067204	158067249	158061105	158061199	158068261	158068318	21	20,16,22,17	2,0,2,1	16,11,17,14	0,0,0,0	186	194	0.013242141380313	0.312211859058122	0.913,1.0,0.92,0.947	1.0,1.0,1.0,1.0	-0.055
22	"gene-Klf8"	"Klf8"	chrNC_000086.8	+	152091847	152091920	152153840	152153914	152020946	152021088	152165504	152166066	22	2,3,2,0	31,39,26,32	4,3,5,1	19,20,23,25	222	223	0.0569115391036831	0.461472867295625	0.061,0.072,0.072,0.0	0.175,0.131,0.179,0.039	-0.08
23	"gene-Klf8"	"Klf8"	chrNC_000086.8	+	152143291	152143479	152153840	152153914	152020584	152021088	152165504	152166066	23	5,0,2,3	31,39,26,32	3,4,1,1	19,20,23,25	298	223	0.48785776640493	0.840069492631192	0.108,0.0,0.054,0.066	0.106,0.13,0.032,0.029	-0.017
24	"gene-Iqsec2"	"Iqsec2"	chrNC_000086.8	+	150949929	150949959	150963992	150964088	150927178	150928175	150985903	150986165	24	40,38,49,39	2,0,1,0	23,36,22,37	0,0,1,0	179	245	0.526940052468343	0.862757170776066	0.965,1.0,0.985,1.0	1.0,1.0,0.968,1.0	-0.005
25	"gene-Iqsec2"	"Iqsec2"	chrNC_000086.8	+	150949929	150949959	150963992	150964088	150927208	150928175	150976861	150977599	25	7,6,10,14	1,1,5,5	3,5,13,9	7,1,5,1	179	245	0.720403890061255	0.951053959562976	0.905,0.891,0.732,0.793	0.37,0.873,0.781,0.925	0.093
26	"gene-Tsr2"	"Tsr2"	chrNC_000086.8	-	149874671	149874763	149879160	149879251	149870089	149873410	149879424	149879539	26	49,44,34,40	5,1,2,1	44,35,37,41	4,4,3,5	240	241	0.0750509994088386	0.484601601816695	0.908,0.978,0.945,0.976	0.917,0.898,0.925,0.892	0.044
