ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"gene-LOC100861749"	"LOC100861749"	chrNT_187064.1	+	40595	40691	40110	40186	41049	41126
2	"gene-Ddx3y"	"Ddx3y"	chrNC_000087.8	-	1280309	1280439	1279422	1279578	1282900	1282948
3	"gene-Ddx3y"	"Ddx3y"	chrNC_000087.8	-	1282900	1282948	1280309	1280439	1284321	1284382
4	"gene-Ddx3y"	"Ddx3y"	chrNC_000087.8	-	1282900	1282968	1280309	1280439	1284321	1284382
6	"gene-Uty"	"Uty"	chrNC_000087.8	-	1099581	1099752	1087581	1087766	1102764	1102891
7	"gene-Uty"	"Uty"	chrNC_000087.8	-	1099581	1099752	1097143	1098573	1102764	1102891
10	"gene-Uty"	"Uty"	chrNC_000087.8	-	1131035	1131223	1129869	1130011	1134871	1134986
11	"gene-Uty"	"Uty"	chrNC_000087.8	-	1134871	1134986	1131035	1131223	1136847	1136996
16	"gene-Uty"	"Uty"	chrNC_000087.8	-	1239710	1239819	1224496	1224546	1245155	1245216
17	"gene-Eif2s3y"	"Eif2s3y"	chrNC_000087.8	+	1011839	1011967	1011259	1011323	1012047	1012169
22	"gene-Eif2s3y"	"Eif2s3y"	chrNC_000087.8	+	1023301	1023474	1016990	1017508	1028187	1028333
26	"gene-2510022D24Rik"	"2510022D24Rik"	chrNC_000086.8	-	169092160	169092275	169091285	169091433	169092526	169092591
32	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168099991	168100134	168099541	168099690	168102433	168102586
33	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168099991	168100143	168099541	168099690	168102433	168102511
37	"gene-Msl3"	"Msl3"	chrNC_000086.8	-	167453215	167453304	167452485	167452611	167454138	167454239
38	"gene-Msl3"	"Msl3"	chrNC_000086.8	-	167453215	167453307	167452485	167452611	167454138	167454239
40	"gene-Prps2"	"Prps2"	chrNC_000086.8	-	166133510	166133670	166129315	166131994	166135131	166135305
46	"gene-Gm8817"	"Gm8817"	chrNC_000086.8	-	165847832	165848001	165846226	165846571	165852131	165852198
47	"gene-Gm8817"	"Gm8817"	chrNC_000086.8	-	165851275	165851404	165846226	165846571	165852131	165852198
52	"gene-Ofd1"	"Ofd1"	chrNC_000086.8	-	165186537	165186635	165183915	165184029	165188421	165188578
53	"gene-Ofd1"	"Ofd1"	chrNC_000086.8	-	165194811	165194903	165193601	165193791	165196296	165196370
55	"gene-Ofd1"	"Ofd1"	chrNC_000086.8	-	165211523	165211631	165197971	165198091	165214684	165214715
57	"gene-Gpm6b"	"Gpm6b"	chrNC_000086.8	+	165136560	165136680	165021910	165022132	165150023	165150170
59	"gene-Gpm6b"	"Gpm6b"	chrNC_000086.8	+	165136560	165136680	165127826	165128077	165150023	165150170
61	"gene-Gpm6b"	"Gpm6b"	chrNC_000086.8	+	165136560	165136680	165131648	165131812	165155633	165155820
64	"gene-Gpm6b"	"Gpm6b"	chrNC_000086.8	+	165150023	165150170	165136560	165136680	165155633	165155820
65	"gene-Gpm6b"	"Gpm6b"	chrNC_000086.8	+	165155633	165155820	165021952	165022132	165158628	165158785
66	"gene-Gpm6b"	"Gpm6b"	chrNC_000086.8	+	165155633	165155820	165127826	165128077	165158628	165158785
67	"gene-Gpm6b"	"Gpm6b"	chrNC_000086.8	+	165166930	165166996	165165444	165165518	165169947	165172028
