ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
34	"gene-Zcchc18"	"Zcchc18"	chrNC_000086.8	+	135893895	135894819	135893895	135894101	135894679	135894819
35	"gene-Zcchc18"	"Zcchc18"	chrNC_000086.8	+	135893895	135894819	135893895	135894153	135894679	135894819
91	"gene-Srgap1"	"Srgap1"	chrNC_000076.7	-	121664633	121665234	121664633	121664667	121665131	121665234
279	"gene-Kcnc3"	"Kcnc3"	chrNC_000073.7	+	44250097	44254175	44250097	44250219	44251292	44254175
301	"gene-Zfp536"	"Zfp536"	chrNC_000073.7	-	37469020	37470280	37469020	37469061	37470064	37470280
427	"gene-Atxn2l"	"Atxn2l"	chrNC_000073.7	-	126090879	126092173	126090879	126091387	126091929	126092173
514	"gene-Tnpo2"	"Tnpo2"	chrNC_000074.7	+	85781350	85781882	85781350	85781426	85781807	85781882
585	"gene-Luc7l2"	"Luc7l2"	chrNC_000072.7	+	38531914	38535010	38531914	38531998	38534786	38535010
587	"gene-Luc7l2"	"Luc7l2"	chrNC_000072.7	+	38534234	38536239	38534234	38534315	38536138	38536239
601	"gene-Kcp"	"Kcp"	chrNC_000072.7	-	29498427	29499035	29498427	29498513	29498955	29499035
602	"gene-Ccdc136"	"Ccdc136"	chrNC_000072.7	+	29419985	29422096	29419985	29420264	29421989	29422096
629	"gene-Med1"	"Med1"	chrNC_000077.7	-	98042979	98049295	98042979	98045075	98046002	98049295
888	"gene-Ptpn12"	"Ptpn12"	chrNC_000071.7	-	21235408	21241484	21235408	21235485	21238816	21241484
893	"gene-Zfp329"	"Zfp329"	chrNC_000073.7	-	12539144	12545593	12539144	12540519	12544732	12545593
944	"gene-Tardbp"	"Tardbp"	chrNC_000070.7	-	148696838	148703248	148696838	148702092	148703130	148703248
946	"gene-Tardbp"	"Tardbp"	chrNC_000070.7	-	148702022	148703248	148702022	148702162	148703194	148703248
1045	"gene-Cfap44"	"Cfap44"	chrNC_000082.7	+	44280509	44282072	44280509	44280705	44281992	44282072
1381	"gene-Mtf2"	"Mtf2"	chrNC_000071.7	+	108217027	108221320	108217027	108217389	108221172	108221320
1412	"gene-Tpm3"	"Tpm3"	chrNC_000069.7	+	89995707	89996430	89995707	89995783	89996354	89996430
1531	"gene-Rnasel"	"Rnasel"	chrNC_000067.7	+	153627204	153627805	153627204	153627413	153627604	153627805
1619	"gene-Taok2"	"Taok2"	chrNC_000073.7	-	126466168	126470813	126466168	126466351	126470573	126470813
1655	"gene-Ikzf4"	"Ikzf4"	chrNC_000076.7	-	128478497	128480550	128478497	128478598	128479562	128480550
1683	"gene-Gm35850"	"Gm35850"	chrNC_000074.7	-	91438024	91441013	91438024	91438566	91440850	91441013
1818	"gene-Gm28175"	"Gm28175"	chrNC_000067.7	+	42334719	42349170	42334719	42337937	42341014	42349170
1823	"gene-Gm28175"	"Gm28175"	chrNC_000067.7	+	42334859	42349170	42334859	42335341	42343010	42349170
1914	"gene-Gm20515"	"Gm20515"	chrNC_000069.7	-	34485104	34508541	34485104	34485195	34488935	34508541
2026	"gene-Trmt9b"	"Trmt9b"	chrNC_000074.7	+	36972705	36975566	36972705	36972815	36975478	36975566
2089	"gene-Kcnj3"	"Kcnj3"	chrNC_000068.8	+	55322064	55327914	55322064	55326522	55327157	55327914
2111	"gene-Slc7a4"	"Slc7a4"	chrNC_000082.7	-	17391419	17392450	17391419	17391528	17392337	17392450
2247	"gene-Dot1l"	"Dot1l"	chrNC_000076.7	+	80627577	80631295	80627577	80627673	80629340	80631295
2321	"gene-Wdr20"	"Wdr20"	chrNC_000078.7	+	110745729	110746324	110745729	110745912	110746222	110746324
2391	"gene-Larp1b"	"Larp1b"	chrNC_000069.7	+	40988379	40991252	40988379	40988524	40991124	40991252
2410	"gene-Taf1d"	"Taf1d"	chrNC_000075.7	+	15226397	15228274	15226397	15226427	15228184	15228274
2521	"gene-Zfp697"	"Zfp697"	chrNC_000069.7	+	98317806	98332816	98317806	98318803	98332584	98332816
2580	"gene-Ccl25"	"Ccl25"	chrNC_000074.7	+	4397792	4399091	4397792	4397913	4398502	4399091
2674	"gene-Tro"	"Tro"	chrNC_000086.8	-	149428689	149432651	149428689	149429115	149432543	149432651
2694	"gene-Gm45971"	"Gm45971"	chrNC_000073.7	-	12605447	12607407	12605447	12605525	12607305	12607407
2857	"gene-Ggps1"	"Ggps1"	chrNC_000079.7	-	14233903	14235592	14233903	14234042	14235547	14235592
2900	"gene-Gm10614"	"Gm10614"	chrNC_000074.7	+	121318526	121325344	121318526	121318789	121325031	121325344
3046	"gene-Cenatac"	"Cenatac"	chrNC_000075.7	-	44323749	44324498	44323749	44323780	44324433	44324498
3221	"gene-Nktr"	"Nktr"	chrNC_000075.7	+	121581862	121582158	121581862	121581893	121582056	121582158
3224	"gene-Zfp445"	"Zfp445"	chrNC_000075.7	-	122683771	122686226	122683771	122683882	122686131	122686226
3225	"gene-Zfp445"	"Zfp445"	chrNC_000075.7	-	122683771	122686226	122683771	122683882	122686167	122686226
3264	"gene-Zfp950"	"Zfp950"	chrNC_000085.7	-	61106664	61108890	61106664	61106788	61108756	61108890
3278	"gene-Gm34857"	"Gm34857"	chrNC_000083.7	+	44360916	44377173	44360916	44363254	44375819	44377173
3294	"gene-Sppl2a"	"Sppl2a"	chrNC_000068.8	-	126732310	126736206	126732310	126736024	126736071	126736206
3305	"gene-Rab36"	"Rab36"	chrNC_000076.7	+	74872726	74874352	74872726	74873315	74874189	74874352
