"","Gene","Event_Type","Chromosome","Coordinates","Strand","dPSI_PE-Ctrl","p-val_PE-Ctrl","-log10(p-adj PE-Ctrl)","regulation"
"1","0610010K14Rik","SE","NC_000077.7","70126290-70126522:70126626-70126823","-",-0.3679749153,0.3143523144,0.502583337835032,"not significant"
"2","0610010K14Rik","SE","NC_000077.7","70126294-70126522:70126626-70126823","-",-0.0209853546,0.3328100471,0.477803571401068,"not significant"
"3","0610010K14Rik","SE","NC_000077.7","70126294-70126522:70126626-70126850","-",0.0086533007,0.3328100471,0.477803571401068,"not significant"
"4","0610010K14Rik","SE","NC_000077.7","70127037-70127703:70127804-70128357","-",-0.0416000869,0.3143523144,0.502583337835032,"not significant"
"5","0610040J01Rik","SE","NC_000071.7","63969938-64033793:64033842-64053773","+",0.5,0.0649350649,1.18752072107098,"included exon"
"6","1110004F10Rik","SE","NC_000073.7","115692760-115696997:115697188-115698675","+",0.0012959053,0.4100899101,0.387120916013174,"not significant"
"7","1110038B12Rik_and_gene-Snord52_and_gene-Gm25744","SE","NC_000083.7","35169451-35169674:35169823-35170861","-",0.0230207211,0.1378621379,0.860554990958808,"not significant"
"8","1500004A13Rik","SE","NC_000069.7","88715579-88717945:88718309-88718521","-",-0.0104894852,0.3226773227,0.491231555117694,"not significant"
"9","1500004A13Rik","SE","NC_000069.7","88718676-88732439:88732721-88739571","-",-0.0457484045,0.3226773227,0.491231555117694,"not significant"
"10","1500009L16Rik","SE","NC_000076.7","83558898-83573773:83573797-83593309","+",0.0082413145,0.3071928072,0.512588957357714,"not significant"
"11","1700001O22Rik","SE","NC_000068.8","30687992-30688699:30688966-30690736","-",0,0.2707292707,0.567464786651868,"not significant"
"12","1700010I14Rik","SE","NC_000083.7","9220777-9223152:9223236-9224024","+",-0.0138335088,0.2427572428,0.614827803804513,"not significant"
"13","1700019A02Rik_and_gene-Pms1","SE","NC_000067.7","53255506-53295788:53295951-53306987","-",0,0.3221778222,0.491904358478137,"not significant"
"14","1700019A02Rik_and_gene-Pms1","SE","NC_000067.7","53295951-53303785:53304587-53306987","-",-0.0338491445,0.3221778222,0.491904358478137,"not significant"
"15","1700019A02Rik_and_gene-Pms1","SE","NC_000067.7","53321251-53329538:53329582-53336045","-",-0.0271271002,0.3221778222,0.491904358478137,"not significant"
"16","1700066M21Rik","SE","NC_000067.7","57417105-57417993:57418971-57421902","+",-0.0100137615,0.3376623377,0.471517377153223,"not significant"
"17","1700066M21Rik","SE","NC_000067.7","57417105-57418866:57418971-57421902","+",0.0194965459,0.3376623377,0.471517377153223,"not significant"
"18","1700086L19Rik","SE","NC_000078.7","74332412-74335482:74335708-74342097","+",0.0169603485,0.3506493506,0.455126961074617,"not significant"
"19","1700086L19Rik","SE","NC_000078.7","74332412-74335487:74335708-74342097","+",-0.0026301221,0.3506493506,0.455126961074617,"not significant"
"20","1700088E04Rik","SE","NC_000081.7","79019965-79020507:79020689-79023438","-",0.0497284591,0.2972027972,0.526947107418838,"not significant"
"21","1810010H24Rik","SE","NC_000077.7","106916795-106916956:106917009-106918636","+",0,0.3246753247,0.488550716467438,"not significant"
"22","2010315B03Rik","SE","NC_000075.7","124056731-124057728:124057788-124057988","-",0.015128669,0.3016983017,0.520427134519723,"not significant"
"23","2010315B03Rik","SE","NC_000075.7","124058114-124074306:124074380-124075190","-",-0.2470961145,0.0859140859,1.06593562630696,"skipped exon"
"24","2210016L21Rik","SE","NC_000071.7","115084423-115084669:115084677-115085222","+",-0.0005991456,0.4300699301,0.36646092165928,"not significant"
"25","2210416O15Rik_and_gene-Cuedc1_and_gene-Mrps23","SE","NC_000077.7","88095311-88096015:88096185-88100679","+",0.0085265216,0.3876123876,0.411602351898991,"not significant"
"26","2210416O15Rik_and_gene-Cuedc1_and_gene-Mrps23","SE","NC_000077.7","88095406-88096015:88096185-88100679","+",0.1890778947,0.3876123876,0.411602351898991,"not significant"
"27","2210418O10Rik","SE","NC_000068.8","175971972-175973274:175973375-175977112","+",0.0068028528,0.3236763237,0.489889067240939,"not significant"
"28","2310057M21Rik","SE","NC_000073.7","130959395-130962618:130962690-130963462","-",-0.0098530514,0.2972027972,0.526947107418838,"not significant"
"29","2410002F23Rik_and_gene-Gm26247_and_gene-Snord88c_and_gene-Snord88a_and_gene-Gm23991","SE","NC_000073.7","43896232-43896662:43896840-43897676","+",0.0116799408,0.3796203796,0.420650480885823,"not significant"
"30","2410002F23Rik_and_gene-Gm26247_and_gene-Snord88c_and_gene-Snord88a_and_gene-Gm23991","SE","NC_000073.7","43896232-43896675:43896840-43897676","+",-0.0291961532,0.3549450549,0.449838870045118,"not significant"
"31","2410002F23Rik_and_gene-Gm26247_and_gene-Snord88c_and_gene-Snord88a_and_gene-Gm23991","SE","NC_000073.7","43896247-43896662:43896840-43897676","+",-0.0264423909,0.3549450549,0.449838870045118,"not significant"
"32","2410002F23Rik_and_gene-Gm26247_and_gene-Snord88c_and_gene-Snord88a_and_gene-Gm23991","SE","NC_000073.7","43896247-43896675:43896840-43897676","+",-0.0054694628,0.3796203796,0.420650480885823,"not significant"
"33","2410002F23Rik_and_gene-Gm26247_and_gene-Snord88c_and_gene-Snord88a_and_gene-Gm23991","SE","NC_000073.7","43896247-43897334:43897483-43897676","+",-0.0144936477,0.3549450549,0.449838870045118,"not significant"
"34","2410002F23Rik_and_gene-Gm26247_and_gene-Snord88c_and_gene-Snord88a_and_gene-Gm23991","SE","NC_000073.7","43896840-43897334:43897483-43897676","+",-0.0501405639,0.3549450549,0.449838870045118,"not significant"
"35","2410002F23Rik_and_gene-Gm26247_and_gene-Snord88c_and_gene-Snord88a_and_gene-Gm23991","SE","NC_000073.7","43897719-43898966:43899023-43899445","+",0.0021886328,0.3796203796,0.420650480885823,"not significant"
"36","2410004B18Rik","SE","NC_000069.7","145644083-145644298:145644424-145644653","+",0.0132110888,0.3686313686,0.433407711357215,"not significant"
"37","2410004P03Rik","SE","NC_000078.7","17057237-17058274:17058313-17061129","-",0.3458660118,0.1838161838,0.735616254508019,"not significant"
"38","2510039O18Rik","SE","NC_000070.7","148029918-148030413:148030574-148031058","+",0.0019387082,0.3671328671,0.435176734097985,"not significant"
"39","2600014E21Rik_and_gene-Gm13653","SE","NC_000068.8","75078863-75079471:75079731-75103411","+",0.0117828665,0.2917082917,0.535051226043245,"not significant"
"40","2600014E21Rik_and_gene-Gm13653","SE","NC_000068.8","75105796-75110281:75110357-75131987","+",-0.1611834124,0.2917082917,0.535051226043245,"not significant"
"41","2600014E21Rik_and_gene-Gm13653","SE","NC_000068.8","75133103-75133194:75134690-75135795","+",0.1000099596,0.2917082917,0.535051226043245,"not significant"
"42","2600014E21Rik_and_gene-Gm13653","SE","NC_000068.8","75135860-75141361:75141486-75142935","+",0.0259384247,0.2917082917,0.535051226043245,"not significant"
"43","2600014E21Rik_and_gene-Gm13653","SE","NC_000068.8","75135860-75141361:75142705-75142935","+",-0.1195679956,0.2917082917,0.535051226043245,"not significant"
"44","2600014E21Rik_and_gene-Gm13653","SE","NC_000068.8","75135897-75141361:75141486-75142935","+",-0.1543837975,0.2917082917,0.535051226043245,"not significant"
"45","2610042L04Rik","SE","NC_000080.7","18120967-18127773:18127937-18130130","-",0,0.3341658342,0.476037955331074,"not significant"
"46","2610042L04Rik","SE","NC_000080.7","18130267-18133485:18133598-18134977","-",-0.0478388001,0.2859140859,0.543764448076957,"not significant"
"47","2610307P16Rik_and_gene-Mir6368","SE","NC_000079.7","28645044-28689689:28689896-28745424","-",-0.0514978315,0.2542457542,0.594746290884697,"not significant"
"48","2700049A03Rik","SE","NC_000078.7","71187708-71188824:71188893-71195018","+",0.0640768419,0.3286713287,0.483238179491459,"not significant"
"49","2700049A03Rik","SE","NC_000078.7","71199571-71201536:71201697-71203821","+",-0.0114692595,0.3286713287,0.483238179491459,"not significant"
"50","2700049A03Rik","SE","NC_000078.7","71224796-71225814:71225932-71231197","+",-0.0371293853,0.3286713287,0.483238179491459,"not significant"
"51","2700054A10Rik_and_gene-Gm26375","SE","NC_000083.7","13717047-13760544:13760683-13768558","-",0.12662432,0.1588411588,0.799036953271401,"not significant"
"52","2810407A14Rik","SE","NC_000082.7","87630673-87630782:87631257-87632535","+",0.1832398275,0.2142857143,0.669006780929623,"not significant"
"53","2810408A11Rik","SE","NC_000077.7","69788318-69788437:69788580-69788929","-",0.0345260665,0.3205430933,0.494113576365691,"not significant"
"54","2810408A11Rik","SE","NC_000077.7","69788318-69788445:69788580-69788929","-",0.0386898076,0.3205430933,0.494113576365691,"not significant"
"55","2810408A11Rik","SE","NC_000077.7","69789236-69789673:69789918-69790025","-",-0.0489963711,0.3205430933,0.494113576365691,"not significant"
"56","2900060N12Rik","SE","NC_000078.7","24846900-24851018:24851178-24851880","-",-0.0430793676,0.2762237762,0.558738941875984,"not significant"
"57","2900076A07Rik_and_gene-Mir1839","SE","NC_000073.7","81178688-81178905:81179006-81179095","+",0.004559073,0.3236763237,0.489889067240939,"not significant"
"58","3110009E18Rik","SE","NC_000067.7","120093902-120099131:120099212-120115771","+",0.0141606574,0.3531468531,0.45204465940402,"not significant"
