ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2	"gene-Uty"	"Uty"	chrNC_000087.8	-	1136274	1136996	1136847	1136996	1134871	1134986	2	21,1,5,0	20,26,20,3	0,0,5,0	0,0,28,0	722	149	0.445409714423736	0.792522885227825	0.178,0.008,0.049,0.0	NA,NA,0.036,NA	0.023
4	"gene-Eif2s3y"	"Eif2s3y"	chrNC_000087.8	+	1016990	1017102	1016990	1017095	1017363	1017508	4	9,25,22,1	3,13,12,0	0,0,17,0	0,0,10,0	156	149	0.825321540596846	0.999334407656856	0.741,0.647,0.637,1.0	NA,NA,0.619,NA	0.137
5	"gene-Eif2s3y"	"Eif2s3y"	chrNC_000087.8	+	1034961	1035192	1034961	1035028	1046771	1049136	5	17,18,16,9	18,36,17,0	0,0,16,0	0,0,19,0	313	149	0.714273583215935	0.966307407029538	0.31,0.192,0.309,1.0	NA,NA,0.286,NA	0.167
6	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168099541	168100143	168099991	168100143	168098597	168098717	6	67,51,49,49	1,0,0,1	63,54,38,71	0,0,0,1	599	149	0.595824833279213	0.896228751611146	0.943,1.0,1.0,0.924	1.0,1.0,1.0,0.946	-0.02
7	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168102971	168103361	168103110	168103361	168102433	168102511	7	9,27,21,16	0,0,2,0	22,6,14,15	0,0,0,0	288	149	0.311682503200214	0.715259416306404	1.0,1.0,0.845,1.0	1.0,1.0,1.0,1.0	-0.039
10	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168102778	168103361	168102971	168103361	168102433	168102586	10	0,2,1,2	10,21,19,15	3,4,3,3	17,25,13,21	342	149	0.0434056238790396	0.403303914861334	0.0,0.04,0.022,0.055	0.071,0.065,0.091,0.059	-0.042
11	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168102778	168103361	168103110	168103361	168102433	168102586	11	9,29,22,18	17,16,16,8	25,10,17,18	14,5,15,11	481	149	0.658736250662983	0.93904246498591	0.141,0.36,0.299,0.411	0.356,0.383,0.26,0.336	-0.031
12	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168102778	168103361	168103170	168103361	168102433	168102586	12	17,43,47,31	14,3,3,4	46,23,28,38	11,2,8,5	541	149	0.801577170715425	0.999334407656856	0.251,0.798,0.812,0.681	0.535,0.76,0.491,0.677	0.02
13	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168102971	168103361	168103110	168103361	168102433	168102586	13	19,48,40,31	17,16,16,8	39,31,27,36	14,5,15,11	288	149	0.344002031208044	0.72813586993627	0.366,0.608,0.564,0.667	0.59,0.762,0.482,0.629	-0.065
14	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168102971	168103361	168103170	168103361	168102433	168102586	14	27,62,65,44	14,3,3,4	60,44,38,56	11,2,8,5	348	149	0.839913368784503	0.999334407656856	0.452,0.898,0.903,0.825	0.7,0.904,0.67,0.827	-0.006
