ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"gene-Gm21748"	"Gm21748"	chrNC_000087.8	-	90850045	90851805	90850045	90850655	90851645	90851805	1	0,0,0,1	0,0,1,0	0,0,0,0	0,0,1,0	1139	149	0.999202115572178	0.999202115572178	NA,NA,0.0,1.0	NA,NA,0.0,NA	0.5
3	"gene-Uty"	"Uty"	chrNC_000087.8	-	1085186	1087766	1085186	1087088	1087581	1087766	3	34,30,9,1	4,0,6,2	0,0,18,0	0,0,2,0	642	149	0.0866913625454941	0.490375384095724	0.664,1.0,0.258,0.104	NA,NA,0.676,NA	-0.169
4	"gene-Uty"	"Uty"	chrNC_000087.8	-	1245406	1245737	1245406	1245512	1245599	1245737	4	18,16,28,3	3,5,6,1	0,0,8,0	0,0,3,0	236	149	0.406481572454275	0.751749275344762	0.791,0.669,0.747,0.654	NA,NA,0.627,NA	0.088
5	"gene-Eif2s3y"	"Eif2s3y"	chrNC_000087.8	+	1016056	1016684	1016056	1016191	1016589	1016684	5	392,330,288,39	56,64,57,11	0,0,362,0	0,0,54,1	547	149	0.15647975328619	0.556725932911477	0.656,0.584,0.579,0.491	NA,NA,0.646,0.0	0.255
6	"gene-Eif2s3y"	"Eif2s3y"	chrNC_000087.8	+	1016990	1017508	1016990	1017095	1017363	1017508	6	86,103,94,11	3,13,12,0	0,2,111,0	0,0,10,0	417	149	0.310522811193724	0.711721923222128	0.911,0.739,0.737,1.0	NA,1.0,0.799,NA	-0.053
7	"gene-Eif2s3y"	"Eif2s3y"	chrNC_000087.8	+	1016990	1017508	1016990	1017102	1017363	1017508	7	86,101,93,11	9,23,21,1	0,2,113,0	0,0,17,0	410	149	0.155544983826837	0.556725932911477	0.776,0.615,0.617,0.8	NA,1.0,0.707,NA	-0.151
8	"gene-Gm15246"	"Gm15246"	chrNC_000086.8	+	168104750	168105838	168104750	168104829	168105745	168105838	8	85,100,75,93	1,0,0,0	83,69,77,107	0,0,0,0	1065	149	0.313795634374784	0.712016026134033	0.922,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.019
9	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168099541	168100143	168099541	168099672	168099991	168100143	9	42,32,33,23	0,0,0,0	34,22,18,38	2,0,1,0	468	149	0.00941449415411522	0.253076605902693	1.0,1.0,1.0,1.0	0.844,1.0,0.851,1.0	0.076
10	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168099541	168100143	168099541	168099690	168099991	168100143	10	27,19,13,12	38,47,42,28	16,17,8,26	41,37,38,28	450	149	0.933258884238195	0.999202115572178	0.19,0.118,0.093,0.124	0.114,0.132,0.065,0.235	-0.005
22	"gene-Ofd1"	"Ofd1"	chrNC_000086.8	-	165171564	165174954	165171564	165174054	165174886	165174954	22	25,54,33,41	8,11,16,13	38,50,33,59	14,18,11,16	981	149	0.85783865260944	0.999202115572178	0.322,0.427,0.239,0.324	0.292,0.297,0.313,0.359	0.013
23	"gene-Gpm6b"	"Gpm6b"	chrNC_000086.8	+	165168386	165172028	165168386	165168477	165169947	165172028	23	1660,1820,1635,1415	22,31,36,31	1727,1423,1764,1655	48,31,32,22	1619	149	0.630231511648026	0.902658746837203	0.874,0.844,0.807,0.808	0.768,0.809,0.835,0.874	0.012
24	"gene-Glra2"	"Glra2"	chrNC_000086.8	-	164109797	164110407	164109797	164109976	164110159	164110407	24	187,181,179,186	3,7,2,10	161,153,150,148	3,0,3,2	332	149	0.0657263959372247	0.455071892706308	0.965,0.921,0.976,0.893	0.96,1.0,0.957,0.971	-0.033
25	"gene-Txlng"	"Txlng"	chrNC_000086.8	-	161594287	161594591	161594287	161594384	161594531	161594591	25	60,56,42,56	2,1,1,4	42,40,42,31	0,3,3,1	296	149	0.653476576302951	0.919464529471488	0.938,0.966,0.955,0.876	1.0,0.87,0.876,0.94	0.012
26	"gene-Phka2"	"Phka2"	chrNC_000086.8	+	159285157	159285900	159285157	159285288	159285742	159285900	26	39,35,26,50	2,1,3,2	54,27,39,33	0,1,0,1	603	149	0.0318958805896573	0.364524349596084	0.828,0.896,0.682,0.861	1.0,0.87,1.0,0.891	-0.123
29	"gene-Klf8"	"Klf8"	chrNC_000086.8	+	152142837	152143479	152142837	152142899	152143291	152143479	29	14,4,12,8	0,0,0,4	11,8,5,11	2,0,0,1	541	149	0.722691315443226	0.957102206688382	1.0,1.0,1.0,0.355	0.602,1.0,1.0,0.752	0.0
30	"gene-Klf8"	"Klf8"	chrNC_000086.8	+	152142837	152143479	152142837	152142960	152143291	152143479	30	12,3,11,6	0,2,1,5	10,8,5,7	1,1,2,4	480	149	0.999202115572178	0.999202115572178	1.0,0.318,0.773,0.271	0.756,0.713,0.437,0.352	0.026
