ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"gene-Gm21748"	"Gm21748"	chrNC_000087.8	-	90850045	90851805	90850045	90850655	90851645	90851805	1	0,0,0,1	1,0,0,0	0,0,0,0	0,0,1,0	1029	39	NA	NA	0.0,NA,NA,1.0	NA,NA,0.0,NA	0.5
3	"gene-Uty"	"Uty"	chrNC_000087.8	-	1085186	1087766	1085186	1087088	1087581	1087766	3	9,30,34,1	6,0,4,2	0,0,18,0	0,0,2,0	532	39	0.946447191517088	0.999202115572178	0.099,1.0,0.384,0.035	NA,NA,0.398,NA	-0.019
4	"gene-Uty"	"Uty"	chrNC_000087.8	-	1245406	1245737	1245406	1245512	1245599	1245737	4	28,16,18,3	6,5,3,1	0,0,8,0	0,0,3,0	126	39	0.261889481930382	0.680864019874716	0.591,0.498,0.65,0.481	NA,NA,0.452,NA	0.103
5	"gene-Eif2s3y"	"Eif2s3y"	chrNC_000087.8	+	1016056	1016684	1016056	1016191	1016589	1016684	5	288,330,392,39	57,64,56,11	0,0,362,0	1,0,54,0	437	39	0.999202115572178	0.999202115572178	0.311,0.315,0.385,0.24	0.0,NA,0.374,NA	0.126
6	"gene-Eif2s3y"	"Eif2s3y"	chrNC_000087.8	+	1016990	1017508	1016990	1017095	1017363	1017508	6	94,103,86,11	12,13,3,0	0,2,111,0	0,0,10,0	307	39	0.859803349835432	0.999202115572178	0.499,0.502,0.785,1.0	NA,1.0,0.585,NA	-0.096
7	"gene-Eif2s3y"	"Eif2s3y"	chrNC_000087.8	+	1016990	1017508	1016990	1017102	1017363	1017508	7	93,101,86,11	21,23,9,1	0,2,113,0	0,0,17,0	300	39	0.71739474785868	0.964252113502493	0.365,0.363,0.554,0.588	NA,1.0,0.464,NA	-0.264
8	"gene-Gm15246"	"Gm15246"	chrNC_000086.8	+	168104750	168105838	168104750	168104829	168105745	168105838	8	75,100,85,93	0,0,1,0	107,69,77,83	0,0,0,0	955	39	0.307612335630917	0.704253631417228	1.0,1.0,0.776,1.0	1.0,1.0,1.0,1.0	-0.056
9	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168099541	168100143	168099541	168099672	168099991	168100143	9	33,32,42,23	0,0,0,0	38,22,18,34	0,0,1,2	358	39	0.0100483414273225	0.249574604979999	1.0,1.0,1.0,1.0	1.0,1.0,0.662,0.649	0.172
10	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168099541	168100143	168099541	168099690	168099991	168100143	10	13,19,27,12	42,47,38,28	26,17,8,16	28,37,38,41	340	39	0.960878464661793	0.999202115572178	0.034,0.044,0.075,0.047	0.096,0.05,0.024,0.043	-0.003
22	"gene-Ofd1"	"Ofd1"	chrNC_000086.8	-	165171564	165174954	165171564	165174054	165174886	165174954	22	33,54,25,41	16,11,8,13	59,50,33,38	16,18,11,14	871	39	0.848102237778194	0.999202115572178	0.085,0.18,0.123,0.124	0.142,0.111,0.118,0.108	0.008
23	"gene-Gpm6b"	"Gpm6b"	chrNC_000086.8	+	165168386	165172028	165168386	165168477	165169947	165172028	23	1635,1820,1660,1415	36,31,22,31	1655,1423,1764,1727	22,31,32,48	1509	39	0.63108247766956	0.90570524729614	0.54,0.603,0.661,0.541	0.66,0.543,0.588,0.482	0.018
24	"gene-Glra2"	"Glra2"	chrNC_000086.8	-	164109797	164110407	164109797	164109976	164110159	164110407	24	179,181,187,186	2,7,3,10	148,153,150,161	2,0,3,3	222	39	0.0886101727177957	0.474782606603006	0.94,0.82,0.916,0.766	0.929,1.0,0.898,0.904	-0.072
