ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"gene-Gm21748"	"Gm21748"	chrNC_000087.8	-	90850045	90851255	90850045	90850655	90851645	90851805	0	0,0,0,1	0,0,1,0	0,0,0,0	0,0,1,0	298	149	0.999202115572178	0.999202115572178	NA,NA,0.0,1.0	NA,NA,0.0,NA	0.5
1	"gene-Ddx3y"	"Ddx3y"	chrNC_000087.8	-	1263569	1263700	1263569	1263697	1263795	1263949	1	60,48,41,8	37,21,34,4	0,0,36,0	0,0,25,0	152	149	0.50455730859791	0.851824928675346	0.614,0.691,0.542,0.662	NA,NA,0.585,NA	0.042
2	"gene-Ddx3y"	"Ddx3y"	chrNC_000087.8	-	1282900	1282968	1282900	1282948	1284321	1284382	2	3,0,2,0	31,52,39,10	0,0,3,0	0,0,28,0	169	149	0.277579297999082	0.735357644711144	0.079,0.0,0.043,0.0	NA,NA,0.086,NA	-0.055
3	"gene-Uty"	"Uty"	chrNC_000087.8	-	1115243	1120805	1115243	1120802	1129869	1130011	3	2,0,0,0	1,0,1,0	0,0,1,0	0,0,3,0	152	149	0.034573517150121	0.452915747200612	0.662,NA,0.0,NA	NA,NA,0.246,NA	0.085
4	"gene-Uty"	"Uty"	chrNC_000087.8	-	1170903	1171002	1170903	1170954	1174727	1174854	4	22,18,26,8	0,1,3,0	0,0,7,0	0,0,0,0	197	149	0.222978852140392	0.697041288803254	1.0,0.932,0.868,1.0	NA,NA,1.0,NA	-0.05
5	"gene-Uty"	"Uty"	chrNC_000087.8	-	1245155	1245219	1245155	1245216	1245406	1245512	5	10,20,28,4	2,2,0,0	0,0,11,0	0,0,1,0	152	149	0.0226920938990396	0.413573826095901	0.831,0.907,1.0,1.0	NA,NA,0.915,NA	0.019
6	"gene-Eif2s3y"	"Eif2s3y"	chrNC_000087.8	+	1016990	1017508	1017363	1017508	1016589	1016684	6	38,80,61,5	120,134,91,18	0,1,83,0	0,0,109,0	298	149	0.220648099458212	0.695631031116348	0.137,0.23,0.251,0.122	NA,1.0,0.276,NA	-0.453
7	"gene-Kdm5d"	"Kdm5d"	chrNC_000087.8	+	910656	910849	910685	910849	910447	910586	7	4,2,2,2	49,47,33,6	0,0,2,0	0,0,42,1	178	149	0.373639920950835	0.779360037134822	0.064,0.034,0.048,0.218	NA,NA,0.038,0.0	0.072
8	"gene-Kdm5d"	"Kdm5d"	chrNC_000087.8	+	927212	927439	927244	927439	927006	927126	8	6,2,1,0	34,30,46,5	0,0,2,0	0,0,41,1	181	149	0.400222209528181	0.794151342164894	0.127,0.052,0.018,0.0	NA,NA,0.039,0.0	0.03
9	"gene-Kdm5d"	"Kdm5d"	chrNC_000087.8	+	927602	927891	927709	927891	927244	927439	9	43,53,25,8	17,20,19,3	0,0,28,0	0,0,17,0	256	149	0.46607684857413	0.83128282344691	0.596,0.607,0.434,0.608	NA,NA,0.489,NA	0.072
11	"gene-Gm15246"	"Gm15246"	chrNC_000086.8	+	168105997	168106097	168106000	168106097	168104750	168105838	11	15,11,9,10	6,6,9,7	6,9,14,12	3,4,6,7	152	149	0.475208502681618	0.835827426876413	0.71,0.642,0.495,0.583	0.662,0.688,0.696,0.627	-0.061
12	"gene-Gm15246"	"Gm15246"	chrNC_000086.8	+	168113693	168113775	168113709	168113775	168105997	168106097	12	20,32,20,11	0,0,0,1	9,13,26,20	0,2,2,0	165	149	0.145748019515991	0.627317150792182	1.0,1.0,1.0,0.909	1.0,0.854,0.922,1.0	0.033
13	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168099541	168099690	168099541	168099672	168099991	168100143	13	53,60,62,39	0,0,0,0	59,42,48,40	2,0,1,0	167	149	0.00728250528121366	0.339150327308634	1.0,1.0,1.0,1.0	0.963,1.0,0.977,1.0	0.015
14	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168099541	168100143	168099541	168099690	168102433	168102511	14	66,49,57,47	0,0,0,0	54,38,54,46	0,0,1,0	298	149	0.114016802685108	0.583637560110927	1.0,1.0,1.0,1.0	1.0,1.0,0.964,1.0	0.009
