ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"gene-Gm21748"	"Gm21748"	chrNC_000087.8	-	90850045	90851805	90850045	90850655	90850932	90851805
1	"gene-Gm21748"	"Gm21748"	chrNC_000087.8	-	90850045	90851805	90850045	90850655	90851645	90851805
2	"gene-Gm21748"	"Gm21748"	chrNC_000087.8	-	90850045	90851805	90850045	90851255	90851645	90851805
3	"gene-Uty"	"Uty"	chrNC_000087.8	-	1085186	1087766	1085186	1087088	1087581	1087766
4	"gene-Uty"	"Uty"	chrNC_000087.8	-	1245406	1245737	1245406	1245512	1245599	1245737
5	"gene-Eif2s3y"	"Eif2s3y"	chrNC_000087.8	+	1016056	1016684	1016056	1016191	1016589	1016684
6	"gene-Eif2s3y"	"Eif2s3y"	chrNC_000087.8	+	1016990	1017508	1016990	1017095	1017363	1017508
7	"gene-Eif2s3y"	"Eif2s3y"	chrNC_000087.8	+	1016990	1017508	1016990	1017102	1017363	1017508
8	"gene-Gm15246"	"Gm15246"	chrNC_000086.8	+	168104750	168105838	168104750	168104829	168105745	168105838
9	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168099541	168100143	168099541	168099672	168099991	168100143
10	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168099541	168100143	168099541	168099690	168099991	168100143
11	"gene-Gm30354"	"Gm30354"	chrNC_000086.8	-	165651853	165654086	165651853	165652835	165652915	165654086
12	"gene-Gm30354"	"Gm30354"	chrNC_000086.8	-	165651853	165654086	165651853	165653768	165653997	165654086
13	"gene-Gm15230"	"Gm15230"	chrNC_000086.8	-	165648391	165648700	165648391	165648495	165648660	165648700
14	"gene-Gm15230"	"Gm15230"	chrNC_000086.8	-	165648391	165649304	165648391	165648495	165648904	165649304
15	"gene-Gm15230"	"Gm15230"	chrNC_000086.8	-	165648391	165649304	165648391	165648700	165648904	165649304
16	"gene-Gm15230"	"Gm15230"	chrNC_000086.8	-	165648391	165649304	165648391	165648751	165648904	165649304
17	"gene-Gm15230"	"Gm15230"	chrNC_000086.8	-	165648391	165649304	165648391	165648495	165649021	165649304
18	"gene-Gm15230"	"Gm15230"	chrNC_000086.8	-	165648391	165649304	165648391	165648751	165649021	165649304
19	"gene-Gm15230"	"Gm15230"	chrNC_000086.8	-	165648660	165649304	165648660	165648700	165649021	165649304
20	"gene-Gm15230"	"Gm15230"	chrNC_000086.8	-	165648391	165649304	165648391	165648553	165649252	165649304
21	"gene-Gm15230"	"Gm15230"	chrNC_000086.8	-	165650500	165651776	165650500	165650603	165651343	165651776
22	"gene-Ofd1"	"Ofd1"	chrNC_000086.8	-	165171564	165174954	165171564	165174054	165174886	165174954
