ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
0	"gene-Gm21748"	"Gm21748"	chrNC_000087.8	-	90850045	90851255	90850045	90850655	90851645	90851805
1	"gene-Ddx3y"	"Ddx3y"	chrNC_000087.8	-	1263569	1263700	1263569	1263697	1263795	1263949
2	"gene-Ddx3y"	"Ddx3y"	chrNC_000087.8	-	1282900	1282968	1282900	1282948	1284321	1284382
3	"gene-Uty"	"Uty"	chrNC_000087.8	-	1115243	1120805	1115243	1120802	1129869	1130011
4	"gene-Uty"	"Uty"	chrNC_000087.8	-	1170903	1171002	1170903	1170954	1174727	1174854
5	"gene-Uty"	"Uty"	chrNC_000087.8	-	1245155	1245219	1245155	1245216	1245406	1245512
6	"gene-Eif2s3y"	"Eif2s3y"	chrNC_000087.8	+	1016990	1017508	1017363	1017508	1016589	1016684
7	"gene-Kdm5d"	"Kdm5d"	chrNC_000087.8	+	910656	910849	910685	910849	910447	910586
8	"gene-Kdm5d"	"Kdm5d"	chrNC_000087.8	+	927212	927439	927244	927439	927006	927126
9	"gene-Kdm5d"	"Kdm5d"	chrNC_000087.8	+	927602	927891	927709	927891	927244	927439
10	"gene-Gm15246"	"Gm15246"	chrNC_000086.8	+	168104750	168105838	168105745	168105838	168103417	168103693
11	"gene-Gm15246"	"Gm15246"	chrNC_000086.8	+	168105997	168106097	168106000	168106097	168104750	168105838
12	"gene-Gm15246"	"Gm15246"	chrNC_000086.8	+	168113693	168113775	168113709	168113775	168105997	168106097
13	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168099541	168099690	168099541	168099672	168099991	168100143
14	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168099541	168100143	168099541	168099690	168102433	168102511
15	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168099991	168100143	168099991	168100134	168102433	168102586
16	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168102433	168102586	168102433	168102511	168102971	168103361
17	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168102433	168102573	168102433	168102511	168103110	168103361
18	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168102433	168102586	168102433	168102511	168103110	168103361
19	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168102433	168102586	168102433	168102573	168103110	168103361
20	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168102433	168102586	168102433	168102511	168103170	168103361
21	"gene-Amelx"	"Amelx"	chrNC_000086.8	-	167964773	167965211	167964773	167965139	167965480	167965525
22	"gene-Msl3"	"Msl3"	chrNC_000086.8	-	167453215	167453307	167453215	167453304	167454138	167454239
23	"gene-Gm15230"	"Gm15230"	chrNC_000086.8	-	165647577	165647670	165647577	165647648	165648391	165648553
24	"gene-Gm15230"	"Gm15230"	chrNC_000086.8	-	165648391	165648700	165648391	165648495	165648904	165649304
25	"gene-Gm15230"	"Gm15230"	chrNC_000086.8	-	165648391	165648751	165648391	165648495	165648904	165649304
26	"gene-Gm15230"	"Gm15230"	chrNC_000086.8	-	165648391	165648751	165648391	165648700	165648904	165649304
27	"gene-Gm15230"	"Gm15230"	chrNC_000086.8	-	165648391	165648751	165648391	165648495	165649021	165649304
28	"gene-Gpm6b"	"Gpm6b"	chrNC_000086.8	+	165168386	165172028	165169947	165172028	165166930	165166996
29	"gene-Glra2"	"Glra2"	chrNC_000086.8	-	164072594	164072765	164072594	164072662	164107496	164107630
30	"gene-Fancb"	"Fancb"	chrNC_000086.8	+	163778882	163779117	163778974	163779117	163778339	163778418
31	"gene-Mospd2"	"Mospd2"	chrNC_000086.8	-	163719164	163720299	163719164	163720080	163722638	163722741
32	"gene-Mospd2"	"Mospd2"	chrNC_000086.8	-	163719164	163721688	163719164	163720080	163722638	163722741
33	"gene-Mospd2"	"Mospd2"	chrNC_000086.8	-	163719164	163721688	163719164	163720299	163722638	163722741
34	"gene-Mospd2"	"Mospd2"	chrNC_000086.8	-	163739474	163739522	163739474	163739513	163741751	163741812
35	"gene-Mospd2"	"Mospd2"	chrNC_000086.8	-	163747977	163748157	163747977	163748133	163762989	163763059
36	"gene-Vegfd"	"Vegfd"	chrNC_000086.8	+	163174597	163174788	163174603	163174788	163168799	163169025
37	"gene-Scml2"	"Scml2"	chrNC_000086.8	+	160020475	160020753	160020487	160020753	160017608	160017692
38	"gene-Adgrg2"	"Adgrg2"	chrNC_000086.8	+	159221180	159221309	159221190	159221309	159217768	159217898
39	"gene-Adgrg2"	"Adgrg2"	chrNC_000086.8	+	159266208	159266333	159266229	159266333	159266078	159266124
40	"gene-Sh3kbp1"	"Sh3kbp1"	chrNC_000086.8	+	158607470	158607545	158607475	158607545	158600237	158600294
41	"gene-Sh3kbp1"	"Sh3kbp1"	chrNC_000086.8	+	158702753	158702913	158702757	158702913	158700231	158700312
42	"gene-Map7d2"	"Map7d2"	chrNC_000086.8	+	158275319	158275407	158275322	158275407	158273675	158273780
43	"gene-Map7d2"	"Map7d2"	chrNC_000086.8	+	158275319	158275407	158275322	158275407	158274763	158274820
44	"gene-Cypt3"	"Cypt3"	chrNC_000086.8	+	152342040	152342431	152342049	152342431	152341588	152341878
45	"gene-Klf8"	"Klf8"	chrNC_000086.8	+	152142837	152143479	152143291	152143479	152091847	152091920
46	"gene-Shroom2"	"Shroom2"	chrNC_000086.8	-	151401896	151402635	151401896	151402442	151406121	151406331
47	"gene-Shroom2"	"Shroom2"	chrNC_000086.8	-	151406121	151406331	151406121	151406313	151426808	151427313
48	"gene-Shroom2"	"Shroom2"	chrNC_000086.8	-	151406121	151406316	151406121	151406313	151440419	151440520
49	"gene-Shroom2"	"Shroom2"	chrNC_000086.8	-	151406121	151406331	151406121	151406313	151440419	151440520
50	"gene-Shroom2"	"Shroom2"	chrNC_000086.8	-	151406121	151406331	151406121	151406316	151440419	151440520
51	"gene-Kdm5c"	"Kdm5c"	chrNC_000086.8	+	151025032	151025167	151025035	151025167	151023021	151023192
52	"gene-Smc1a"	"Smc1a"	chrNC_000086.8	+	150829442	150829801	150829655	150829801	150824322	150824464
53	"gene-Gm39540"	"Gm39540"	chrNC_000086.8	+	150796997	150797302	150797000	150797302	150792636	150793425
54	"gene-Itih6"	"Itih6"	chrNC_000086.8	+	149638112	149638490	149638262	149638490	149636568	149636682
55	"gene-Alas2"	"Alas2"	chrNC_000086.8	+	149335954	149336077	149335999	149336077	149330442	149330481
56	"gene-Alas2"	"Alas2"	chrNC_000086.8	+	149335954	149336077	149335999	149336077	149335144	149335340
57	"gene-Alas2"	"Alas2"	chrNC_000086.8	+	149349496	149349659	149349547	149349659	149348002	149348271
58	"gene-Amot"	"Amot"	chrNC_000086.8	-	144279984	144280047	144279984	144280039	144283838	144283932
59	"gene-Pak3"	"Pak3"	chrNC_000086.8	+	142311535	142311695	142311552	142311695	142301369	142301759
60	"gene-Acsl4"	"Acsl4"	chrNC_000086.8	-	141134374	141134614	141134374	141134611	141143378	141143432
61	"gene-Acsl4"	"Acsl4"	chrNC_000086.8	-	141134374	141134904	141134374	141134611	141143378	141143432
62	"gene-Acsl4"	"Acsl4"	chrNC_000086.8	-	141134374	141134904	141134374	141134614	141143378	141143432
63	"gene-Acsl4"	"Acsl4"	chrNC_000086.8	-	141134374	141134614	141134374	141134611	141143382	141143432
64	"gene-Acsl4"	"Acsl4"	chrNC_000086.8	-	141134374	141134904	141134374	141134611	141143382	141143432
65	"gene-Acsl4"	"Acsl4"	chrNC_000086.8	-	141134374	141134904	141134374	141134614	141143382	141143432
