ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"gene-Gm21748"	"Gm21748"	chrNC_000087.8	-	90850045	90851805	90850045	90850655	90851645	90851805	1	0,0,0,1	0,0,1,0	0,0,0,0	0,0,1,0	298	149	0.999202115572178	0.999202115572178	NA,NA,0.0,1.0	NA,NA,0.0,NA	0.5
3	"gene-Uty"	"Uty"	chrNC_000087.8	-	1085186	1087766	1085186	1087088	1087581	1087766	3	19,15,2,1	4,0,6,2	0,0,7,0	0,0,2,0	298	149	0.0710589483285233	0.459724831592713	0.704,1.0,0.143,0.2	NA,NA,0.636,NA	-0.124
4	"gene-Uty"	"Uty"	chrNC_000087.8	-	1245406	1245737	1245406	1245512	1245599	1245737	4	18,16,28,3	3,5,6,1	0,0,8,0	0,0,3,0	236	149	0.406481572454275	0.766602685167057	0.791,0.669,0.747,0.654	NA,NA,0.627,NA	0.088
5	"gene-Eif2s3y"	"Eif2s3y"	chrNC_000087.8	+	1016056	1016684	1016056	1016191	1016589	1016684	5	203,200,157,18	56,64,57,11	0,0,199,0	0,0,54,1	298	149	0.16133550013877	0.597861069387846	0.644,0.61,0.579,0.45	NA,NA,0.648,0.0	0.247
6	"gene-Eif2s3y"	"Eif2s3y"	chrNC_000087.8	+	1016990	1017508	1016990	1017095	1017363	1017508	6	58,86,73,9	3,13,12,0	0,2,88,0	0,0,10,0	298	149	0.329465939943252	0.735255194888	0.906,0.768,0.753,1.0	NA,1.0,0.815,NA	-0.051
7	"gene-Eif2s3y"	"Eif2s3y"	chrNC_000087.8	+	1016990	1017508	1016990	1017102	1017363	1017508	7	62,85,73,9	9,23,21,1	0,2,90,0	0,0,17,0	298	149	0.169539740713036	0.604796051983506	0.775,0.649,0.635,0.818	NA,1.0,0.726,NA	-0.144
8	"gene-Gm15246"	"Gm15246"	chrNC_000086.8	+	168104750	168105838	168104750	168104829	168105745	168105838	8	22,30,24,28	1,0,0,0	27,18,19,25	0,0,0,0	298	149	0.390750403140433	0.756634871535566	0.917,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.021
9	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168099541	168100143	168099541	168099672	168099991	168100143	9	36,23,31,18	0,0,0,0	27,14,16,32	2,0,1,0	298	149	0.00958343315819687	0.307490574748422	1.0,1.0,1.0,1.0	0.871,1.0,0.889,1.0	0.06
10	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168099541	168100143	168099541	168099690	168099991	168100143	10	23,13,11,7	38,47,42,28	9,9,6,22	41,37,38,28	298	149	0.652957635983442	0.924476516035906	0.232,0.121,0.116,0.111	0.099,0.108,0.073,0.282	0.004
22	"gene-Ofd1"	"Ofd1"	chrNC_000086.8	-	165171564	165174954	165171564	165174054	165174886	165174954	22	5,12,12,13	8,11,16,13	12,22,13,7	14,18,11,16	298	149	0.817961625772413	0.999202115572178	0.238,0.353,0.273,0.333	0.3,0.379,0.371,0.179	-0.008
23	"gene-Gpm6b"	"Gpm6b"	chrNC_000086.8	+	165168386	165172028	165168386	165168477	165169947	165172028	23	350,446,380,318	22,31,36,31	389,316,344,390	48,31,32,22	298	149	0.473619297767309	0.820567017678337	0.888,0.878,0.841,0.837	0.802,0.836,0.843,0.899	0.016
24	"gene-Glra2"	"Glra2"	chrNC_000086.8	-	164109797	164110407	164109797	164109976	164110159	164110407	24	175,161,165,165	3,7,2,10	151,141,138,139	3,0,3,2	298	149	0.0614078996634021	0.443281387668878	0.967,0.92,0.976,0.892	0.962,1.0,0.958,0.972	-0.034
25	"gene-Txlng"	"Txlng"	chrNC_000086.8	-	161594287	161594591	161594287	161594384	161594531	161594591	25	60,56,42,55	2,1,1,4	42,40,42,31	0,3,3,1	296	149	0.662624846771449	0.929016810486148	0.938,0.966,0.955,0.874	1.0,0.87,0.876,0.94	0.012
26	"gene-Phka2"	"Phka2"	chrNC_000086.8	+	159285157	159285900	159285157	159285288	159285742	159285900	26	21,13,10,27	2,1,3,2	28,9,15,16	0,1,0,1	298	149	0.0503650477115747	0.437548767027829	0.84,0.867,0.625,0.871	1.0,0.818,1.0,0.889	-0.126
29	"gene-Klf8"	"Klf8"	chrNC_000086.8	+	152142837	152143479	152142837	152142899	152143291	152143479	29	6,4,5,5	0,0,0,4	5,5,2,8	2,0,0,1	298	149	0.796679478551329	0.991719474576397	1.0,1.0,1.0,0.385	0.556,1.0,1.0,0.8	0.007
30	"gene-Klf8"	"Klf8"	chrNC_000086.8	+	152142837	152143479	152142837	152142960	152143291	152143479	30	4,3,6,3	0,2,1,5	7,7,2,7	1,1,2,4	298	149	0.781118996558049	0.986282946406402	1.0,0.429,0.75,0.231	0.778,0.778,0.333,0.467	0.014
31	"gene-Maged2"	"Maged2"	chrNC_000086.8	-	149589705	149590177	149589705	149589843	149589909	149590177	31	239,310,354,324	2,4,5,2	358,277,317,317	3,1,0,4	215	149	0.168947260111925	0.604796051983506	0.988,0.982,0.98,0.991	0.988,0.995,1.0,0.982	-0.006
34	"gene-Zcchc18"	"Zcchc18"	chrNC_000086.8	+	135893895	135894819	135893895	135894101	135894679	135894819	34	266,324,222,187	1,1,0,0	255,205,250,254	1,0,0,3	298	149	0.672202514192431	0.934191423589861	0.993,0.994,1.0,1.0	0.992,1.0,1.0,0.977	0.005
35	"gene-Zcchc18"	"Zcchc18"	chrNC_000086.8	+	135893895	135894819	135893895	135894153	135894679	135894819	35	217,275,175,159	1,0,0,0	214,170,191,223	0,0,0,0	298	149	0.315285390423748	0.724424128241187	0.991,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.002
36	"gene-Armcx2"	"Armcx2"	chrNC_000086.8	-	133708202	133708474	133708202	133708262	133708351	133708474	36	57,71,37,50	0,2,1,1	58,43,47,49	1,1,2,3	238	149	0.307033342911372	0.719268465754305	1.0,0.957,0.959,0.969	0.973,0.964,0.936,0.911	0.025
37	"gene-Armcx2"	"Armcx2"	chrNC_000086.8	-	133708202	133708474	133708202	133708262	133708369	133708474	37	60,76,40,55	107,100,102,128	61,44,53,49	104,92,123,93	256	149	0.802277999162747	0.994727660290279	0.246,0.307,0.186,0.2	0.255,0.218,0.201,0.235	0.007
38	"gene-Armcx6"	"Armcx6"	chrNC_000086.8	-	133651689	133652116	133651689	133651782	133652078	133652116	38	23,22,19,15	27,39,50,39	16,13,33,14	36,34,38,25	298	149	0.694646919810512	0.947106403745626	0.299,0.22,0.16,0.161	0.182,0.16,0.303,0.219	-0.006
