ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"gene-Ddx3y"	"Ddx3y"	chrNC_000087.8	-	1280309	1280439	1282900	1282948	1279422	1279578	1284321	1284382	0	13,19,15,6	43,61,55,14	0,0,11,0	0,0,34,0	197	279	0.636168312860086	0.916978517165576	0.3,0.306,0.279,0.378	NA,NA,0.314,NA	0.002
1	"gene-Ddx3y"	"Ddx3y"	chrNC_000087.8	-	1280309	1280439	1282900	1282968	1279422	1279578	1284321	1284382	1	1,0,1,0	43,61,55,14	0,0,1,0	0,0,34,0	217	279	0.65664765247952	0.922592171637893	0.029,0.0,0.023,0.0	NA,NA,0.036,NA	-0.023
2	"gene-Uty"	"Uty"	chrNC_000087.8	-	1131035	1131223	1134871	1134986	1129869	1130011	1136847	1136996	2	19,23,13,2	43,48,28,11	0,0,18,0	0,0,40,0	264	337	0.881697454847565	0.999202115572178	0.361,0.38,0.372,0.188	NA,NA,0.365,NA	-0.04
3	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168099541	168099690	168099991	168100143	168098597	168098717	168102433	168102511	3	55,45,49,44	40,32,36,37	52,35,52,40	45,37,30,45	301	298	0.317007118577341	0.751700265826484	0.577,0.582,0.574,0.541	0.534,0.484,0.632,0.468	0.039
5	"gene-Gm8817"	"Gm8817"	chrNC_000086.8	-	165847832	165848001	165851275	165851404	165846226	165846571	165852131	165852198	5	0,0,0,0	0,3,0,0	2,0,0,0	0,0,1,0	278	318	NA	NA	NA,0.0,NA,NA	1.0,NA,0.0,NA	-0.5
6	"gene-Gpm6b"	"Gpm6b"	chrNC_000086.8	+	165136560	165136680	165150023	165150170	165021952	165022132	165155633	165155820	6	134,99,106,100	3,2,2,2	102,62,77,83	1,1,3,2	269	296	0.900283606076496	0.999202115572178	0.98,0.982,0.983,0.982	0.991,0.986,0.966,0.979	0.001
7	"gene-Gpm6b"	"Gpm6b"	chrNC_000086.8	+	165136560	165136680	165150023	165150170	165127826	165128077	165155633	165155820	7	301,255,270,278	6,10,2,3	245,187,198,212	2,2,3,6	269	296	0.717464527795434	0.945997010633827	0.982,0.966,0.993,0.99	0.993,0.99,0.986,0.975	-0.003
8	"gene-Glra2"	"Glra2"	chrNC_000086.8	-	164072435	164072503	164072594	164072662	164064818	164065042	164107496	164107630	8	192,186,183,183	1,4,1,3	133,141,131,115	0,2,3,0	217	217	0.592573510582069	0.89524324338373	0.995,0.979,0.995,0.984	1.0,0.986,0.978,1.0	-0.003
9	"gene-Glra2"	"Glra2"	chrNC_000086.8	-	164072435	164072503	164072594	164072765	164064818	164065042	164107496	164107630	9	61,71,75,68	1,4,1,3	51,54,56,51	0,2,3,0	320	217	0.490500130648365	0.848091201187878	0.976,0.923,0.981,0.939	1.0,0.948,0.927,1.0	-0.014
11	"gene-Ctps2"	"Ctps2"	chrNC_000086.8	+	161685567	161685672	161686429	161686634	161684555	161684743	161693004	161693175	11	1,0,0,1	150,138,140,105	0,0,4,0	93,120,126,145	254	354	0.999202115572178	0.999202115572178	0.009,0.0,0.0,0.013	0.0,0.0,0.042,0.0	-0.005
12	"gene-Syap1"	"Syap1"	chrNC_000086.8	-	161642868	161642927	161646055	161646204	161642294	161642442	161655510	161655650	12	66,47,54,53	25,28,22,20	54,42,47,72	44,29,32,38	298	208	0.0100325096944066	0.293735929162089	0.648,0.54,0.631,0.649	0.461,0.503,0.506,0.569	0.107
13	"gene-Phka2"	"Phka2"	chrNC_000086.8	+	159285742	159285900	159306267	159306426	159285157	159285288	159310725	159310773	13	9,1,4,4	23,18,12,18	2,4,0,2	23,18,10,18	307	308	0.0693422481775147	0.498252379824296	0.282,0.053,0.251,0.182	0.08,0.182,0.0,0.1	0.102
14	"gene-Phka2"	"Phka2"	chrNC_000086.8	+	159285748	159285900	159306267	159306426	159285152	159285288	159310725	159310773	14	12,0,1,2	23,18,12,18	4,6,1,3	23,18,10,18	301	308	0.530623641608431	0.865100029028598	0.348,0.0,0.079,0.102	0.151,0.254,0.093,0.146	-0.029
15	"gene-Phka2"	"Phka2"	chrNC_000086.8	+	159371960	159372014	159373163	159373364	159369774	159369945	159373934	159374025	15	10,8,17,14	25,33,21,34	10,6,10,14	34,37,18,45	203	350	0.158936183795105	0.615859067329046	0.408,0.295,0.583,0.415	0.336,0.218,0.489,0.349	0.077
16	"gene-Phka2"	"Phka2"	chrNC_000086.8	+	159371960	159372014	159373163	159373364	159369774	159369945	159381463	159381874	16	10,6,16,14	11,18,6,18	10,6,11,14	13,20,14,22	203	350	0.242114966990976	0.69828577572137	0.611,0.365,0.821,0.573	0.57,0.341,0.575,0.523	0.09
17	"gene-Phka2"	"Phka2"	chrNC_000086.8	+	159373163	159373364	159373934	159374025	159371960	159372014	159381463	159381874	17	33,42,33,37	0,2,1,1	40,55,37,50	2,0,2,0	350	240	0.711510106893279	0.942932399313925	1.0,0.935,0.958,0.962	0.932,1.0,0.927,1.0	-0.001
18	"gene-Adgrg2"	"Adgrg2"	chrNC_000086.8	+	159274393	159274495	159275595	159275748	159271679	159271963	159279300	159281066	18	0,5,2,3	2,9,1,4	0,0,3,3	2,2,3,7	251	302	0.999202115572178	0.999202115572178	0.0,0.401,0.706,0.474	0.0,0.0,0.546,0.34	0.174
19	"gene-Sh3kbp1"	"Sh3kbp1"	chrNC_000086.8	+	158600237	158600294	158607470	158607545	158599572	158599702	158611369	158611575	19	3,0,8,6	0,0,3,1	0,2,7,4	0,0,1,0	206	224	0.26155264550562	0.717849036495289	1.0,NA,0.744,0.867	NA,1.0,0.884,1.0	-0.091
20	"gene-Map7d2"	"Map7d2"	chrNC_000086.8	+	158243262	158243361	158245109	158245220	158242373	158242479	158252958	158253089	20	28,23,31,32	19,40,25,31	17,22,25,35	22,32,14,19	248	260	0.53995733084394	0.868949725842175	0.607,0.376,0.565,0.52	0.448,0.419,0.652,0.659	-0.027
21	"gene-Rps6ka3"	"Rps6ka3"	chrNC_000086.8	+	158062162	158062199	158067204	158067249	158061105	158061199	158068261	158068318	21	20,16,22,17	2,0,2,1	16,11,17,14	0,0,0,0	186	194	0.013242141380313	0.31720080447597	0.913,1.0,0.92,0.947	1.0,1.0,1.0,1.0	-0.055
22	"gene-Klf8"	"Klf8"	chrNC_000086.8	+	152091847	152091920	152153840	152153914	152020946	152021088	152165504	152166066	22	2,3,2,0	31,39,26,32	4,3,5,1	19,20,23,25	222	223	0.0569115391036831	0.477959013668395	0.061,0.072,0.072,0.0	0.175,0.131,0.179,0.039	-0.08
23	"gene-Klf8"	"Klf8"	chrNC_000086.8	+	152143291	152143479	152153840	152153914	152020584	152021088	152165504	152166066	23	10,4,7,6	31,39,26,32	4,10,2,1	19,20,23,25	337	223	0.583688141209475	0.889833910456762	0.176,0.064,0.151,0.11	0.122,0.249,0.054,0.026	0.012
24	"gene-Iqsec2"	"Iqsec2"	chrNC_000086.8	+	150949929	150949959	150963992	150964088	150927178	150928175	150985903	150986165	24	40,38,49,39	2,0,1,0	23,36,22,37	0,0,1,0	179	245	0.526940052468343	0.863573883236518	0.965,1.0,0.985,1.0	1.0,1.0,0.968,1.0	-0.005
