ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
10	"gene-Gm15246"	"Gm15246"	chrNC_000086.8	+	168104750	168105838	168105745	168105838	168103417	168103693
14	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168099541	168100143	168099541	168099690	168102433	168102511
42	"gene-Map7d2"	"Map7d2"	chrNC_000086.8	+	158275319	158275407	158275322	158275407	158273675	158273780
45	"gene-Klf8"	"Klf8"	chrNC_000086.8	+	152142837	152143479	152143291	152143479	152091847	152091920
58	"gene-Amot"	"Amot"	chrNC_000086.8	-	144279984	144280047	144279984	144280039	144283838	144283932
73	"gene-Tceal3"	"Tceal3"	chrNC_000086.8	+	135567808	135567939	135567872	135567939	135493654	135493712
74	"gene-Tceal3"	"Tceal3"	chrNC_000086.8	+	135567808	135567939	135567872	135567939	135494950	135494999
75	"gene-Tceal3"	"Tceal3"	chrNC_000086.8	+	135567808	135567939	135567872	135567939	135546494	135546616
77	"gene-Bex3"	"Bex3"	chrNC_000086.8	+	135172011	135172727	135172057	135172727	135171001	135171150
97	"gene-Cstf2"	"Cstf2"	chrNC_000086.8	+	132973884	132974026	132973962	132974026	132973163	132973223
98	"gene-Cstf2"	"Cstf2"	chrNC_000086.8	+	132973884	132974026	132973962	132974026	132973426	132973513
166	"gene-Hmgb3"	"Hmgb3"	chrNC_000086.8	+	70601658	70601813	70601726	70601813	70599522	70599796
167	"gene-Hmgb3"	"Hmgb3"	chrNC_000086.8	+	70601662	70601813	70601726	70601813	70599522	70599796
168	"gene-Hmgb3"	"Hmgb3"	chrNC_000086.8	+	70601658	70601813	70601662	70601813	70599522	70599843
169	"gene-Hmgb3"	"Hmgb3"	chrNC_000086.8	+	70601662	70601813	70601726	70601813	70599921	70600106
170	"gene-Hmgb3"	"Hmgb3"	chrNC_000086.8	+	70601658	70602178	70602038	70602178	70600493	70600714
199	"gene-Pard6a"	"Pard6a"	chrNC_000074.7	+	106429239	106430126	106429242	106430126	106428805	106428938
218	"gene-Bean1"	"Bean1"	chrNC_000074.7	+	104937549	104937801	104937552	104937801	104897221	104897636
223	"gene-Miat"	"Miat"	chrNC_000071.7	-	112375920	112376080	112375920	112376044	112376166	112376222
224	"gene-Miat"	"Miat"	chrNC_000071.7	-	112375920	112376080	112375920	112376044	112376174	112376222
225	"gene-Miat"	"Miat"	chrNC_000071.7	-	112375920	112376080	112375920	112376044	112376474	112376814
249	"gene-Zfp791"	"Zfp791"	chrNC_000074.7	-	85835181	85837671	85835181	85837668	85840135	85840262
290	"gene-Zfp40"	"Zfp40"	chrNC_000083.7	-	23410318	23410482	23410318	23410409	23412048	23412226
291	"gene-Zfp868"	"Zfp868"	chrNC_000074.7	-	70063304	70065228	70063304	70065106	70066398	70066525
295	"gene-Cacna1g"	"Cacna1g"	chrNC_000077.7	-	94307451	94307530	94307451	94307481	94307980	94308114
322	"gene-Ssr2"	"Ssr2"	chrNC_000069.7	+	88491083	88491192	88491106	88491192	88488280	88488379
323	"gene-Ssr2"	"Ssr2"	chrNC_000069.7	+	88491089	88491192	88491106	88491192	88488280	88488379
